OID,FID_,X,Y,BCE_Manuka
71,71,1762828.768602111,5911304.757159271,1.418307712
72,72,1751515.432789869,5911505.044616212,0.567249986
73,73,1762836.347556525,5911294.624980062,1.430483906
74,74,1762843.772211167,5911284.201247131,1.416800003
75,75,1752450.917158824,5911478.822185374,1.67387958
76,76,1756235.385589388,5911379.621096357,0.370250008
77,77,1756275.391451889,5911378.884770784,0.346149997
78,78,1756469.909989162,5911372.24901711,-0.648317638
79,79,1761868.235114797,5911273.362227302,0.025555557
80,80,1761884.233929757,5911272.943266682,0.085781252
81,81,1751562.549805772,5911454.355891069,0.277654327
82,82,1756217.594354816,5911373.411977268,0.299086958
83,83,1762014.356196352,5911265.213631274,-0.319224487
84,84,1762867.87572827,5911244.645067088,1.367260252
85,85,1756411.111873043,5911356.330753379,-0.57521794
86,86,1756426.056732289,5911359.124489976,-0.68705676
87,87,1761648.956674489,5911260.657950482,-0.054145454
88,88,1752450.896779547,5911418.511591171,2.035260874
89,89,1761381.145655249,5911253.864672413,-0.066887639
90,90,1756346.484110355,5911327.726501181,-0.311333333
91,91,1756367.669819487,5911340.037048015,-0.339175175
92,92,1760474.884212971,5911240.724331505,-0.208549995
93,93,1760826.935150096,5911234.06272444,-0.270162499
94,94,1760842.937411388,5911233.759384234,-0.251274999
95,95,1756192.923630039,5911329.125840973,-0.240793426
96,96,1760056.542645205,5911249.310011503,0.436574149
97,97,1760570.709457689,5911228.942605355,-0.313449995
98,98,1761018.774086245,5911220.45620661,-0.135909772
99,99,1758738.262552701,5911253.432897269,-0.499531655
100,100,1760970.578169483,5911211.400037616,-0.333862506
101,101,1756717.800079433,5911281.000537791,-0.212875007
102,102,1756828.920550582,5911346.990986065,-0.087886057
103,103,1759947.402384977,5911248.830820638,0.350936922
104,104,1760939.449130773,5911206.237981716,-0.372909547
105,105,1759445.074397824,5911217.596121629,0.22606667
106,106,1756144.085697136,5911284.875732027,-0.38906466
107,107,1756772.728061741,5911258.375466397,-0.671105248
108,108,1758705.685668973,5911223.40465246,-0.83032075
109,109,1761183.339060558,5911225.511216162,0.856776564
110,110,1750488.48276324,5911364.091448626,0.862477275
111,111,1750504.47184264,5911363.346618092,0.807760009
112,112,1756098.652091766,5911261.874850983,-0.236276048
113,113,1759284.846302587,5911222.072914521,0.209999255
114,114,1750528.290156549,5911353.121565362,0.540525004
115,115,1750576.119117166,5911342.303872297,0.234775
116,116,1750592.120952845,5911342.019948328,0.225424999
117,117,1756056.795312106,5911243.327612855,-0.181175
118,118,1759652.320667372,5911206.773270898,0.420431894
119,119,1750436.455994396,5911344.002405161,0.151929941
120,120,1750647.774075904,5911321.093439769,-0.128299995
121,121,1750663.775944357,5911320.809158451,-0.031125001
122,122,1759128.492175353,5911165.900520234,0.735037743
123,123,1750371.897804783,5911312.472536912,-0.061694447
124,124,1755930.423315185,5911214.806263773,-0.746325375
125,125,1750727.42936457,5911299.74077772,-0.074596603
126,126,1750331.876176665,5911292.772870822,0.109560966
127,127,1750775.081006892,5911278.955268121,-0.154350004
128,128,1755880.062492913,5911185.93856081,-9999.0
129,129,1755863.915171678,5911176.095020284,-0.945799965
130,130,1750308.516195906,5911270.041832627,0.003306308
131,131,1755022.808401746,5911179.558184068,0.03375
132,132,1755847.757898919,5911166.228400529,-0.85864513
133,133,1750918.552797622,5911245.770388582,-0.459384612
134,134,1755831.598481615,5911156.353339633,-0.612119991
135,135,1750286.135301953,5911241.686969173,-0.524202838
136,136,1754972.003929841,5911159.267693737,-0.397084644
137,137,1755546.156403431,5911148.840744954,-0.392919761
138,138,1755671.018195092,5911145.111959075,-0.206198466
139,139,1750261.965211231,5911228.235791601,-0.734100004
140,140,1755783.037346493,5911126.763040389,-0.562065228
141,141,1755807.617799253,5911137.326678312,-0.485429028
142,142,1755768.900238281,5911119.006520378,-0.692962101
143,143,1755433.796821363,5911095.239330071,-0.792255626
144,144,1755413.612004389,5911085.639246414,-0.91339392
145,145,1755382.027248237,5911074.670636452,-1.0
146,146,1754910.03788252,5911074.177510452,-9999.0
147,147,1755349.352965583,5911054.516553657,-9999.0
148,148,1754820.640183779,5911046.625286633,-0.140949981
149,149,1754889.28100157,5911047.717065191,-0.720849351
150,150,1754805.038034181,5911031.817677553,-0.124416968
151,151,1754788.091923824,5911017.309447055,0.036199988
152,152,1749735.72664865,5911097.609414027,-0.152999992
153,153,1754780.22535553,5911007.158671272,0.155485716
154,154,1753732.085203989,5910990.86067462,1.18653334
155,155,1749636.609220543,5911036.960370488,-0.191333338
156,156,1749671.196228235,5911057.680619757,-0.238934823
157,157,1753730.569598811,5910966.939590909,0.957090897
158,158,1753755.312888371,5910966.290245243,1.711818212
159,159,1753698.0444667,5910941.562376194,0.698736831
160,160,1749616.080445119,5911006.461849584,-0.61770978
161,161,1754386.043768479,5910913.174247324,0.420458327
162,162,1754626.079540262,5910910.59414938,0.073399999
163,163,1754690.211594641,5910908.120955274,-0.715033904
164,164,1749601.330955377,5910980.696093592,-0.907313716
165,165,1754369.695748095,5910895.320975805,0.209178353
166,166,1762519.020621437,5910755.106980038,0.227826089
167,167,1754361.5137703,5910885.50023627,0.167786408
168,168,1749584.978133504,5910961.045698778,-0.932199976
169,169,1753681.104707288,5910900.315862113,0.606666625
170,170,1759281.176409435,5910754.731229445,0.154750002
171,171,1754352.784472486,5910853.718866415,-0.105369806
