OID,FID_,X,Y,BCE_Port_F
169,169,1808508.492017795,5994767.027875623,-9999.0
170,170,1809612.286365633,5994739.815945132,-0.324741893
171,171,1808740.810279923,5994848.845134364,-0.359624957
172,172,1809628.209148312,5994729.46115353,0.264303064
173,173,1810597.338956008,5994706.128087357,-9999.0
174,174,1808714.543765308,5994733.412776048,0.152000039
175,175,1809126.471866299,5994711.58258763,-0.862999976
176,176,1809143.902204057,5994711.63446782,-0.30524995
177,177,1809699.979810042,5994687.848124533,0.231153892
178,178,1809659.953849253,5994714.667122551,0.759576606
179,179,1809715.902327077,5994677.493465509,0.064492548
180,180,1808936.461836343,5994692.936937945,-9999.0
181,181,1812212.677317353,5994607.162595659,-9999.0
182,182,1808756.54702352,5994699.190527722,-9999.0
183,183,1809729.456621984,5994689.194733727,-9999.0
184,184,1810579.842237538,5994626.772042261,-0.752999961
185,185,1808106.848078956,5994676.124381249,-0.799708329
186,186,1808943.210515123,5994655.788878352,-9999.0
187,187,1808712.675655738,5994651.68373338,-0.591782571
188,188,1808078.972196453,5994729.808133936,-0.250430361
189,189,1808898.13860356,5994637.475294169,-9999.0
190,190,1808926.579917263,5994636.593367212,-0.796571392
191,191,1810587.321703349,5994601.660823007,-0.53373806
192,192,1810598.879071612,5994640.204788761,0.070607891
193,193,1808130.377593877,5994645.647031965,-0.902599955
194,194,1808170.764632034,5994643.956525271,-9999.0
195,195,1810603.122771831,5994586.321122132,-0.578666625
196,196,1810643.527134298,5994585.346007687,-9999.0
197,197,1810756.642044948,5994581.887880879,-9999.0
198,198,1808720.187225332,5994628.871580313,-9999.0
199,199,1810619.044070848,5994575.964602933,-0.474499949
200,200,1810772.580837464,5994572.257647195,-9999.0
201,201,1808162.22548566,5994624.943021032,-0.926684213
202,202,1808243.033742321,5994623.015296538,-9999.0
203,203,1808386.781243206,5994616.148077482,-9999.0
204,204,1808727.883983479,5994611.431578313,-9999.0
205,205,1809010.466354682,5994605.14711454,0.660851892
206,206,1810634.965320059,5994565.608091176,-0.888499945
207,207,1810748.097470158,5994562.876553265,-0.556741893
208,208,1808178.149590826,5994614.591044532,-0.883764686
209,209,1808380.170160278,5994609.769377719,-9999.0
210,210,1808703.522056183,5994607.028197955,-0.055735842
211,211,1808735.726350864,5994601.272014172,-9999.0
212,212,1810678.271420792,5994568.529392052,-0.05977643
213,213,1810764.018351926,5994552.520044313,-0.872999966
214,214,1808743.568442727,5994591.11238584,-9999.0
215,215,1809018.875579049,5994692.257099969,-0.561852625
216,216,1811988.029310501,5994512.898908228,-9999.0
217,217,1808199.799165969,5994601.482322664,-0.89242856
218,218,1810771.738367885,5994537.375091312,-0.497699949
219,219,1811967.585031364,5994503.422851207,-9999.0
220,220,1808214.575865879,5994616.220156677,-0.897799969
221,221,1808299.589201049,5994588.461091057,-9999.0
222,222,1809870.132257825,5994535.458989483,-9999.0
223,223,1808282.135791079,5994562.441047774,-0.449457624
224,224,1808314.15034305,5994561.729384685,-9999.0
225,225,1808297.945912768,5994553.700120772,-0.980111122
226,226,1809838.037510118,5994519.749145965,-9999.0
227,227,1809766.311960149,5994551.347459409,-0.759796393
228,228,1808746.808177772,5994538.219497193,-0.677818371
229,229,1810791.644561362,5994490.781319408,-0.906285673
230,230,1812398.347305099,5994337.596277421,-0.498628213
231,231,1812349.617096032,5994288.637611022,-0.971333345
232,232,1811573.903624885,5994273.640563952,-9999.0
233,233,1811537.29922785,5994264.555864833,-0.603153817
234,234,1811565.339806464,5994253.903533486,-0.700263111
235,235,1811587.525976781,5994260.585252545,-9999.0
236,236,1811597.42046529,5994243.153557896,-9999.0
237,237,1811489.187121615,5994277.674217981,-9999.0
238,238,1811596.574547934,5994208.270852491,0.492086461
239,239,1811616.886456679,5994210.694915721,-9999.0
240,240,1810585.907114921,5994207.783417545,-9999.0
241,241,1811604.171727241,5994188.141914027,0.575878076
242,242,1811611.889723768,5994172.996208554,-0.579877999
243,243,1812104.803492904,5994161.027587661,-9999.0
244,244,1812108.359114158,5994140.996477232,-0.779999952
245,245,1812152.802239329,5994139.915896839,-0.764899966
246,246,1812025.874812079,5994151.250732677,-0.072517913
247,247,1812071.754603295,5994131.914060147,-0.579458336
248,248,1812211.400179959,5994138.703178397,-0.520017831
249,249,1811952.666590945,5994137.031987328,-0.796999956
250,250,1811918.646585597,5994117.609353802,-9999.0
251,251,1810575.591140899,5994165.777929085,-0.568846549
252,252,1810575.897286357,5994128.253881709,-0.634421045
253,253,1811876.496469581,5994093.946831329,-9999.0
254,254,1811836.978794389,5994068.888626895,-9999.0
255,255,1811818.086566903,5994058.646012999,-9999.0
256,256,1811674.243286278,5994093.508635802,-0.495833185
257,257,1811781.311781602,5994050.204935643,-0.970999986
258,258,1810600.133790233,5994061.960722086,-0.427391421
259,259,1810597.732701745,5994028.004391093,-0.328746826
260,260,1810630.054673292,5994027.223929515,-9999.0
261,261,1810605.572754803,5994017.842668172,-0.400168983
262,262,1810621.492865493,5994007.486123757,-0.516611084
263,263,1810645.85435251,5994011.883899696,-9999.0
264,264,1810637.412915361,5993997.12945488,-0.823214246
265,265,1810653.573664236,5993996.739216696,-9999.0
266,266,1810660.823890452,5993986.591979911,-9999.0
