OID,FID_,X,Y,BCE_Hokian
478,478,1654017.528168105,6087512.675152465,0.204566126
479,479,1649615.04457613,6087537.377854687,0.113660619
480,480,1650955.782062508,6087511.023309893,0.051875003
481,481,1652087.118466205,6087492.232272903,-0.69526874
482,482,1649622.936120106,6087496.199037923,-0.043333332
483,483,1650051.819133041,6087501.716985169,-0.867375568
484,484,1652109.676756368,6087474.925738348,-0.727666657
485,485,1653953.376716194,6087464.388563339,0.392099991
486,486,1650874.722688345,6087471.278656304,-0.083652174
487,487,1653910.475529776,6087451.854672257,-0.299574564
488,488,1653886.580062283,6087441.781281892,-0.869023535
489,489,1649626.059701344,6087461.311274972,-0.095418753
490,490,1650776.473279384,6087410.273753501,0.0438
491,491,1653790.553662159,6087395.217125207,-0.806607134
492,492,1653853.019762996,6087417.735682843,-0.308407956
493,493,1650753.576044364,6087391.370474564,0.130279569
494,494,1650678.08171509,6087321.072340697,0.160202532
495,495,1652351.529457563,6087305.526518606,-0.88499999
496,496,1653529.586387449,6087284.281302499,-0.485774639
497,497,1653519.842767496,6087266.277341835,0.071047626
498,498,1652400.236719381,6087258.902798333,-0.337940839
499,499,1652460.056423816,6087241.17319509,-0.885000012
500,500,1649622.832960268,6087265.157700543,-0.449734702
501,501,1652490.542495194,6087231.930934592,-0.88499999
502,502,1652504.507665709,6087222.457621088,-0.88499999
503,503,1652539.84940532,6087204.860965954,-0.880912753
504,504,1649613.031827194,6087212.154414343,-0.089514996
505,505,1652599.890431468,6087180.33394184,-0.85799999
506,506,1652679.357981264,6087151.381284342,-0.88499999
507,507,1649632.376179439,6087126.788889774,-0.743106385
508,508,1653256.438611256,6087091.51693467,-0.520184633
509,509,1652855.901123209,6087059.335946337,-0.682949991
510,510,1652872.224156721,6087059.240014733,-0.885000002
511,511,1652884.697696791,6087049.439399463,-0.829477978
512,512,1652847.346466819,6087035.242623858,0.750593095
513,513,1652942.517370985,6087030.328051536,-0.423571416
514,514,1653166.313779853,6087041.304150337,-0.021476632
515,515,1652800.350866679,6087009.970124023,-0.777959991
516,516,1652833.791215129,6087016.193398298,0.499202166
517,517,1653035.195672006,6087014.381102169,0.142499996
518,518,1649642.985601437,6086995.170120979,-0.345905841
519,519,1649631.500634482,6086968.111867826,-0.403077775
520,520,1649620.881673693,6086931.068578321,-0.437373266
521,521,1649580.956255755,6086798.950365787,-0.483070426
522,522,1640609.368036528,6086786.195541758,0.625950446
523,523,1640628.418755813,6086774.175100074,1.094800032
