OID,FID_,X,Y,BCE_Waimea
380,380,1613212.146516197,5429024.892140563,1.383586219
381,381,1613559.003443097,5428992.632099922,1.540690608
382,382,1611612.936647364,5428998.762073153,0.144837565
383,383,1613566.306674498,5428973.885227025,1.148738466
384,384,1613301.74250942,5428968.304006399,0.740465323
385,385,1608697.157735194,5429019.116162257,1.04364408
386,386,1613321.155268362,5428948.774102294,0.678445283
387,387,1613349.861809354,5428925.644091154,0.511370856
388,388,1611589.20593557,5428928.600534244,0.100000001
389,389,1613365.753083778,5428907.68928787,0.668192893
390,390,1608162.400836,5428936.409104735,1.331111534
391,391,1613390.212826888,5428885.345660704,0.787690096
392,392,1609014.867308918,5429284.320625926,1.414253406
393,393,1611470.588845586,5429391.980369916,1.15809289
394,394,1612133.825203742,5428847.262741374,0.676386673
395,395,1614970.722820044,5428879.785395503,0.977554214
396,396,1612160.16207965,5428837.05373162,1.475998759
397,397,1613427.671203786,5428835.743328284,0.797970483
398,398,1611158.781658538,5428819.779225439,1.577117664
399,399,1611619.994911576,5428869.813961018,1.425760009
400,400,1612024.564378539,5428817.322650041,1.294173087
401,401,1611560.95071675,5428852.894670377,0.518007534
402,402,1611999.551234822,5428810.868299559,1.314519787
403,403,1613444.672727548,5428808.616417393,0.930269374
404,404,1615269.363350584,5428948.890056307,1.686021382
405,405,1613454.154512996,5428785.69160837,1.127275871
406,406,1608031.115211877,5428919.424778354,1.14941723
407,407,1615153.237817749,5428776.775591598,2.426930684
408,408,1613467.244504287,5428763.704649715,1.187600022
409,409,1612533.287565802,5428778.62991156,1.419189809
410,410,1611948.840413416,5428747.845395081,1.167000026
411,411,1610448.88829386,5429564.132110269,1.034723314
412,412,1612327.07458647,5428846.892404477,1.458748043
413,413,1612485.9935853,5428736.314698968,1.306831402
414,414,1611964.72484699,5428698.299282636,1.181123088
415,415,1612529.247439894,5428703.927284267,1.499800976
416,416,1612572.756126653,5428691.890955042,1.465450012
417,417,1612566.556744725,5428676.997181515,1.344940033
418,418,1614954.101074835,5428707.138602076,1.018324537
