OID,FID_,X,Y,BCE_Kawhia
55,55,1761737.12665989,5785510.78473319,-0.386684824
56,56,1761736.844693568,5785470.029945485,-0.456972219
57,57,1761445.04703063,5785465.843558394,-0.353476185
58,58,1765727.896565448,5785374.301358825,-0.20778751
59,59,1761534.306915493,5785423.809161477,-0.559836348
60,60,1761153.634507525,5785397.307695695,-9999.0
61,61,1761675.56646135,5785458.742543009,-0.379851592
62,62,1765796.307463609,5785276.493472875,0.191431372
63,63,1760011.702761797,5785374.070136384,-0.519428575
64,64,1761714.647933073,5785331.967149894,-9999.0
65,65,1759979.928320923,5785353.814744612,-0.333374998
66,66,1766217.132817856,5785180.429082104,0.15426168
67,67,1759915.780784642,5785285.594930055,-9999.0
68,68,1759885.662273756,5785272.756094423,-9999.0
69,69,1759863.131868784,5785256.993076289,-0.542952378
70,70,1759731.813657107,5785159.843351195,-0.331135133
71,71,1759683.792132222,5785120.829563931,-9999.0
72,72,1766145.820260517,5784961.902497751,0.065859999
73,73,1760083.225413446,5784993.514835179,-9999.0
74,74,1760185.68718751,5784992.228359957,-9999.0
75,75,1760232.970652388,5784991.298673738,-9999.0
76,76,1760150.112342525,5784987.214419394,-9999.0
77,77,1760784.048632835,5784959.979305064,-0.641000003
78,78,1762942.907216694,5784916.885309038,0.01589796
79,79,1762572.740384734,5784914.514832091,-0.314226406
80,80,1762547.769654461,5784905.741852817,-0.30632099
81,81,1762579.743893906,5784888.665145855,-0.112009094
82,82,1762614.108814579,5784885.94075117,0.027367712
83,83,1759940.005379159,5784926.522173979,-9999.0
84,84,1759931.929210767,5784916.708525629,-9999.0
85,85,1761247.973414069,5784890.770311236,-9999.0
86,86,1762069.839560077,5784877.111476375,-9999.0
87,87,1761168.816180332,5784882.571952105,-0.496666668
88,88,1759963.15764441,5784901.137231642,0.018791232
89,89,1759899.820352614,5784887.422190772,-9999.0
90,90,1761248.647822395,5784861.567325532,-9999.0
91,91,1760929.800370483,5784857.171794141,0.055836957
92,92,1761263.100197541,5784850.374143844,-9999.0
93,93,1761937.507668661,5784840.254356947,-9999.0
94,94,1759442.931299271,5784875.532846252,-9999.0
95,95,1759915.189997077,5784867.176196598,-0.38177515
96,96,1759958.297812184,5784871.627741551,0.119624412
97,97,1760886.907725499,5784856.442133307,0.072608155
98,98,1762010.296007484,5784834.012317158,-0.504638554
99,99,1759899.233475165,5784857.517188961,-0.82433335
100,100,1759930.755227835,5784856.898520351,-0.146449994
101,101,1761246.43755016,5784821.202650692,-0.376425935
102,102,1759914.252443556,5784827.51366026,-0.222611109
103,103,1759403.875214363,5784826.513377002,-0.383342839
104,104,1759864.369445989,5784840.304694364,-9999.0
105,105,1761259.52305157,5784793.382517875,-0.307443515
106,106,1762512.088088844,5784829.627415774,0.079902708
107,107,1760047.722288187,5784822.074934902,0.51455827
108,108,1759834.442061007,5784798.955429291,-9999.0
109,109,1762482.674611353,5784746.781621159,0.424703693
110,110,1762467.033102873,5784737.121197695,0.407345449
111,111,1759937.070256384,5784776.997151778,0.263925001
112,112,1759802.651875657,5784777.913228938,-9999.0
113,113,1761175.546704787,5784783.750333528,-0.168435742
114,114,1762454.496371187,5784721.776412486,0.402971569
115,115,1759998.455539642,5784755.12042281,0.458923565
116,116,1760300.440857202,5784750.638833072,0.52670886
117,117,1761662.04033407,5784727.423624954,-0.575086966
118,118,1761733.005341109,5784735.790382329,-0.608844017
119,119,1759400.259543737,5784778.854265376,-0.544148935
