OID,FID_,X,Y,BCE_Whitia
478,478,1838362.368161214,5914768.009609209,1.652975305
479,479,1838720.46446676,5914755.79809467,1.184900022
480,480,1840564.449783093,5914705.98380666,-0.314987504
481,481,1838369.512335679,5914757.833297524,1.304547168
482,482,1840572.175299255,5914695.788990573,-0.278800003
483,483,1838741.673077013,5914720.828941786,1.282666675
484,484,1838376.985755056,5914717.719732349,1.432462537
485,485,1841119.997871068,5914640.948778698,0.543972479
486,486,1838421.253971508,5914783.186575207,0.826616252
487,487,1838722.45277378,5914714.689684234,1.153518468
488,488,1839930.162871333,5914664.051370185,-0.272625007
489,489,1838384.292474975,5914702.550841332,1.199254544
490,490,1838376.147247977,5914687.815225112,1.384375006
491,491,1841096.214566973,5914601.13372503,0.821847833
492,492,1841330.454906129,5914924.135563485,0.644408323
493,493,1838375.733750439,5914655.308375005,0.728803416
494,494,1839912.459756746,5914604.694134641,-0.284724991
495,495,1838389.341304413,5914635.505848203,0.84968572
496,496,1838406.22033627,5914617.139866757,1.423925018
497,497,1840709.270138797,5914474.029687773,1.088250023
498,498,1839831.389259457,5914463.682083148,-0.310799992
499,499,1839827.885440273,5914447.462163343,-0.315265819
500,500,1839811.375811738,5914427.885844138,-0.244116885
501,501,1840760.334140345,5914411.91674757,0.687250003
502,502,1840725.979339481,5914429.124091942,0.723532646
503,503,1838392.342553169,5914408.032810019,0.867375005
504,504,1840682.897241969,5914345.108890812,0.762686568
505,505,1838399.648922463,5914392.863884573,1.008812495
506,506,1839749.004596306,5914349.925830339,-0.178774997
507,507,1839712.389378539,5914330.278768092,-0.237518511
508,508,1838375.912941981,5914314.148018202,1.074838245
509,509,1838389.267490668,5914298.382897879,0.594936715
510,510,1838401.827465267,5914281.859466378,0.891500011
511,511,1840556.256690003,5914215.697734399,0.868299921
512,512,1838554.481293111,5914431.788451196,0.773296592
513,513,1841113.151659737,5914131.769029276,0.443737501
514,514,1839971.019360133,5914124.185569615,-0.259737485
515,515,1841043.960919418,5914093.826180194,-0.735699997
516,516,1841079.992640208,5914092.804418665,-0.743125005
517,517,1841134.331181527,5914103.161678102,0.354997215
518,518,1841155.797127806,5914081.405307305,0.42724074
519,519,1839487.350711053,5914117.471433191,-0.326342108
520,520,1839916.386431485,5914135.853132017,0.024218534
521,521,1840259.574741852,5914108.882978629,-0.102314514
522,522,1840366.802854105,5914093.050243143,0.403875006
523,523,1841076.007544075,5914072.964785812,-0.781235295
524,524,1841083.148271094,5914062.785822277,-0.729849984
525,525,1841247.008594714,5914048.160698109,0.368149999
526,526,1839961.634601978,5914074.605770473,0.633102555
