OID,FID_,X,Y,BCE_Waitem
228,228,1743128.708689594,5929739.792489665,0.225657813
229,229,1748438.410486844,5929632.580760629,-0.300821426
230,230,1742766.704375805,5929721.390654529,-0.145620684
231,231,1747382.137552284,5929640.255655183,0.330690001
232,232,1748726.073096154,5929618.710917788,0.023774999
233,233,1743032.92971324,5929706.184080428,-9999.0
234,234,1747396.559862192,5929626.026047594,0.830012688
235,235,1748653.40561318,5929600.238381729,-9999.0
236,236,1748709.060107436,5929599.492776182,1.8707619
237,237,1743159.013972677,5929689.981195216,0.375958526
238,238,1747116.78701012,5929632.088344232,0.080384496
239,239,1748413.265731822,5929593.788246782,0.011444449
240,240,1743180.435725939,5929674.264555142,0.505675526
241,241,1747089.698721496,5929607.172950699,0.381724999
242,242,1743200.485776459,5929661.859171995,0.530586204
243,243,1748404.484045475,5929574.459128577,-0.152987344
244,244,1748695.413821291,5929590.850114984,0.739677473
245,245,1742539.149178313,5929664.393974282,-0.094528302
246,246,1743002.45182626,5929659.954430879,-9999.0
247,247,1748686.496166271,5929550.505036036,0.53551456
248,248,1743260.41498067,5929632.378384346,0.346486059
249,249,1745893.450260262,5929602.42151795,0.871416058
250,250,1746945.48229135,5929566.015110241,0.124137506
251,251,1747450.529559776,5929553.47724688,0.106839554
252,252,1743272.123820619,5929612.254202165,0.135041666
253,253,1747369.139752499,5929542.742533372,-0.981620632
254,254,1747385.175712686,5929542.465809873,-0.954851101
255,255,1743149.702313131,5929609.205775264,-0.850347307
256,256,1745751.27916091,5929562.47541812,0.014727276
257,257,1746518.249958293,5929525.318449693,-0.413081626
258,258,1748707.416898836,5929498.663268881,0.886418366
259,259,1743308.124182363,5929578.309372695,0.202828128
260,260,1745388.195791687,5929534.688581152,-0.322250007
261,261,1745523.894299593,5929532.596969147,0.196245282
262,262,1745535.002918305,5929523.36432858,0.277771652
263,263,1746398.536931786,5929508.91785099,0.270944442
264,264,1747095.670230098,5929497.611753098,-0.972052634
265,265,1747488.698456571,5929495.310432767,0.127366011
266,266,1743408.648417923,5929542.017558089,0.318425286
267,267,1748690.853219648,5929455.57655853,0.038349318
268,268,1743361.597319981,5929552.319707344,0.122218625
269,269,1746364.838527058,5929483.782274534,1.13640569
270,270,1745832.071718533,5929485.26237896,0.324320389
