OID,FID_,X,Y,BCE_Otago_
364,364,1418264.79947822,4926777.114762886,-0.978246941
365,365,1419219.320509129,4926788.681112589,-9999.0
366,366,1421478.581503807,4926869.090879349,-0.468536469
367,367,1422857.012265928,4926893.518323554,-9999.0
368,368,1419097.712731866,4926776.977872993,-9999.0
369,369,1420539.445069188,4926870.243289976,-0.662101573
370,370,1422206.406901406,4926870.863936156,-0.618996722
371,371,1418534.697769962,4926748.204286344,-9999.0
372,372,1418583.255597805,4926746.613628685,-9999.0
373,373,1421715.25591889,4926840.713046093,-0.576914886
374,374,1418524.376807915,4926737.708977947,-9999.0
375,375,1420601.406457832,4926803.057264697,-0.626852384
376,376,1421631.593707076,4926900.638525804,-0.443858726
377,377,1420857.275283649,4926808.954044792,-0.623005341
378,378,1418213.71292976,4926719.499773271,-0.530809572
379,379,1420043.409849723,4926762.144556819,-9999.0
380,380,1422540.889414325,4926845.100324349,-0.532927834
381,381,1418563.507370969,4926713.88038411,-9999.0
382,382,1420717.332554018,4926813.705808228,-0.684879814
383,383,1418576.655843417,4926694.86891526,-9999.0
384,384,1420746.268232534,4926747.308888992,-0.627574015
385,385,1418041.022213307,4926658.636266414,-0.289000035
386,386,1420760.808477036,4926727.751348674,-0.646999999
387,387,1421627.068670872,4926748.283517956,-0.616915798
388,388,1422521.594175707,4926793.309890428,-0.478758989
389,389,1418017.170140643,4926637.959503553,-0.75770454
390,390,1418803.794974977,4926661.418545386,-0.813900048
391,391,1418807.210828536,4926636.67354863,-9999.0
392,392,1419396.689419183,4926653.469732742,-9999.0
393,393,1419515.382965883,4926656.920872575,-9999.0
394,394,1419802.892183633,4926665.801084481,-9999.0
395,395,1420195.930011796,4926675.877775587,-9999.0
396,396,1423316.517103706,4926799.950862313,-0.837556633
397,397,1419337.784439024,4926641.562553517,-9999.0
398,398,1420088.496774999,4926663.154411583,-9999.0
399,399,1420235.386211174,4926668.507657441,-9999.0
400,400,1422315.440853694,4926727.688195509,-0.881959197
401,401,1422504.251765854,4926749.234620154,-0.398718886
402,402,1423296.905701119,4926756.072466889,-9999.0
403,403,1419285.558776602,4926630.258898985,-9999.0
404,404,1419348.699156279,4926631.68650228,-9999.0
405,405,1419740.633876498,4926644.016576643,-9999.0
406,406,1422041.555289008,4926706.058241551,-0.764795355
407,407,1417963.069704829,4926576.440374009,-0.872124985
408,408,1419057.068483477,4926602.515155754,-9999.0
409,409,1422435.990657781,4926906.678951603,-0.688923439
410,410,1420208.33228518,4926617.091662941,-9999.0
411,411,1418829.848473698,4926566.830394648,-9999.0
412,412,1420183.190717542,4926615.589760964,-9999.0
413,413,1420218.898691919,4926606.622052506,-9999.0
414,414,1421581.795836536,4926779.383235993,-0.640930446
415,415,1418840.591267138,4926557.883378396,-9999.0
416,416,1420334.423128811,4926613.617982937,-9999.0
417,417,1419556.463335239,4926847.621965501,-0.794515601
418,418,1418917.843904664,4926539.635714165,-9999.0
419,419,1419270.925978076,4926550.300034505,-9999.0
420,420,1419298.052498416,4926555.810794609,-9999.0
421,421,1420038.930770724,4926572.606651622,-9999.0
422,422,1420039.509290253,4926552.646017997,-9999.0
423,423,1419679.736241135,4926531.842347058,-9999.0
424,424,1420330.173656223,4926563.664866018,-9999.0
425,425,1419688.987934472,4926515.851558455,-9999.0
426,426,1420110.384830529,4926579.15025819,-9999.0
427,427,1419101.40767961,4926475.064899414,-9999.0
428,428,1419590.132430475,4926489.284532228,-9999.0
429,429,1421232.680190494,4926562.586405198,-0.783472779
430,430,1419688.17370045,4926486.933226271,-9999.0
431,431,1417482.388801623,4926406.588556127,-0.761425018
432,432,1419642.773091727,4926475.934774458,-9999.0
433,433,1420413.972244929,4926523.049981971,-9999.0
434,434,1417509.331309,4926399.974685119,-0.903363656
435,435,1418432.032248479,4926425.560125204,-9999.0
