OID,FID_,X,Y,BCE_Manuka
509,509,1761223.804447523,5909813.488774824,0.499872937
510,510,1760423.752175507,5909805.990844365,0.126124998
511,511,1748330.670704998,5910016.425107537,0.572391297
512,512,1748351.837427292,5910015.852304862,0.446298241
513,513,1756200.270368581,5909874.814961934,1.646545471
514,514,1760431.563550645,5909795.873013344,0.205432098
515,515,1761139.166334736,5909791.596342583,0.327160784
516,516,1761768.296573643,5909769.805001304,1.216949166
517,517,1761139.356620904,5909772.491633838,0.688354418
518,518,1761955.5267724,5909766.923512909,0.33886179
519,519,1748298.836305919,5909996.325485896,0.949090925
520,520,1761127.00240504,5909762.554812476,0.951272722
521,521,1761016.510696787,5909759.059448965,0.224305555
522,522,1761751.626291279,5909740.276787848,1.192222219
523,523,1761966.955614626,5909736.794932423,0.296875001
524,524,1760143.380128406,5909751.69677674,1.372835843
525,525,1760150.254061677,5909731.395880948,1.255499981
526,526,1753626.765817471,5909842.621860587,-0.578981484
527,527,1762498.229665905,5909667.400155813,1.420185171
