OID,FID_,X,Y,BCE_Tauran
343,343,1861173.984540779,5848088.737102779,-0.392177568
344,344,1861726.464550203,5848070.906995233,-0.337925926
345,345,1861162.015460757,5848078.249849098,-0.428545444
346,346,1861352.876676077,5848072.464128661,-0.713999987
347,347,1861685.998555203,5848064.136584949,-0.382847522
348,348,1860185.944347071,5848168.810289468,-0.092037898
349,349,1860166.555708018,5848325.020792946,0.057678662
350,350,1860327.496215219,5848110.772703114,-0.266896896
351,351,1861839.162160804,5848060.105037892,-0.093775491
352,352,1861685.483180151,5848032.278333005,-0.352000004
353,353,1861867.090172668,5848025.628337116,-0.050869565
354,354,1861331.917131899,5848038.194577862,-0.713318737
355,355,1861753.059807677,5848025.34658172,-0.281071574
356,356,1861311.27089415,5848013.894561293,-0.713999987
357,357,1861859.367391525,5848001.087302697,-0.079981507
358,358,1861828.584559358,5847989.01445654,-0.129655628
359,359,1860622.87134,5847986.176761704,-0.365879626
360,360,1860853.59748662,5847977.061294121,-0.164892859
361,361,1861763.931513269,5847972.428056837,-0.255734833
362,362,1862190.84466621,5847916.571812196,-0.446666667
363,363,1861257.110580324,5847935.409440928,-0.713999987
364,364,1861869.338417595,5847917.095775875,-0.128773581
365,365,1860843.317040571,5847945.769308062,-0.166143615
366,366,1860824.76602653,5847928.458249542,-0.141269939
367,367,1861832.681868466,5847902.695618931,-0.177688215
368,368,1862189.902034647,5847886.66300041,-0.438454541
369,369,1861815.847977071,5847878.484681868,-0.168490908
370,370,1860625.912165273,5847905.520763556,-0.612465124
371,371,1860783.972641778,5847916.426122887,-0.264007387
372,372,1861044.296075109,5847886.982493128,-0.087127277
373,373,1860835.785018368,5847875.967969278,-0.124535714
374,374,1861844.639887098,5847858.717377725,-0.155062609
375,375,1860420.776993864,5847882.49103408,-0.093093572
376,376,1861684.67677482,5847835.78120152,-0.341122344
377,377,1861024.013436947,5847843.868137063,-0.04126415
378,378,1861814.080061168,5847828.259957924,-0.138381678
379,379,1861861.322547461,5847807.197054783,-0.103277773
380,380,1861746.700586548,5847854.878788043,-0.266805119
381,381,1862170.869580088,5847787.467762922,-0.408909087
382,382,1860762.584027808,5847847.28232172,-0.215732939
383,383,1861647.777943557,5847788.753851539,-0.351949607
384,384,1860302.985775118,5847815.980121722,-0.0544
385,385,1861681.893292053,5847773.302243015,-0.363321102
386,386,1860924.83986145,5847832.464220792,-0.061531108
387,387,1861182.395939998,5847778.435827757,-0.701914881
388,388,1862175.490018317,5847751.577198645,-0.378910598
389,389,1860731.39619351,5847782.604309089,-0.610000014
390,390,1860866.14985928,5847768.400265403,0.036682585
391,391,1860149.68822354,5847751.127723316,0.036
392,392,1861627.1504422,5847694.811667103,-0.332839289
393,393,1860835.407248928,5847690.204974558,0.022790909
394,394,1861661.081525255,5847678.593809796,-0.387888235
395,395,1860130.290658361,5847706.103726028,0.008769231
396,396,1860823.439148801,5847679.717281542,0.03173585
397,397,1861673.252588433,5847643.464271856,-0.441259246
398,398,1863727.197167838,5847578.390627535,-0.713999987
399,399,1860727.067128095,5847662.987643067,-0.610000014
400,400,1861768.596721599,5847630.069165959,-0.264814817
401,401,1859944.786134098,5847691.371106046,0.246811649
402,402,1860035.964820977,5847674.84911973,0.143963633
403,403,1863706.543523896,5847559.293995925,-0.713999987
404,404,1862172.604798151,5847602.012512895,-0.371790907
405,405,1859868.65721111,5847659.911732424,0.159046221
406,406,1861720.356200709,5847681.816865196,-0.330225639
407,407,1859976.761479798,5847653.029059427,0.111203188
408,408,1861894.14295356,5847586.615287435,-0.080596491
409,409,1859812.317767511,5847644.496369119,0.23148648
410,410,1860873.184400023,5847599.11497667,-0.043121496
411,411,1859745.864522779,5847630.845847681,0.310432524
412,412,1859784.235900191,5847629.873424872,0.296863468
413,413,1860860.0506193,5847579.191286881,-0.029160715
414,414,1860562.628608141,5847547.824196504,-0.271596592
415,415,1860563.072579543,5847511.565209487,-0.561442757
416,416,1860968.776771029,5847495.945762007,-0.025909091
417,417,1862183.665085139,5847460.943979526,-0.439663705
418,418,1861656.405516256,5847466.940720974,-0.374928657
419,419,1862206.912585368,5847417.089744424,-0.523232137
420,420,1861705.459727631,5847421.044683864,-0.33214881
421,421,1860924.337010963,5847441.357653406,-0.019030004
