OID,FID_,X,Y,BCE_Opua_I
168,168,1701825.838953529,6097164.118790373,-9999.0
169,169,1697491.160453069,6097178.511270883,1.114405077
170,170,1701743.347869458,6097136.110885855,-9999.0
171,171,1701964.516449653,6097119.909688619,-9999.0
172,172,1697344.783291854,6097148.427786774,0.388304351
173,173,1697421.560042437,6097184.2679001,0.667566664
174,174,1701773.315031539,6097101.474119199,-9999.0
175,175,1701804.808893955,6097101.118939868,-9999.0
176,176,1701995.577822378,6097170.250815295,-0.556684252
177,177,1697548.48484446,6097139.26728675,0.75528815
178,178,1697612.930906502,6097125.50741787,3.639662691
179,179,1698565.178472035,6097188.341209208,-0.21684236
180,180,1697572.324892984,6097118.700904151,0.764758267
181,181,1696588.83178958,6097191.876237637,0.443094592
182,182,1701984.499651728,6097039.304398568,-9999.0
183,183,1695994.913259461,6097074.76992355,3.985515068
184,184,1696689.358636449,6097027.990718642,0.330057973
185,185,1701951.02653472,6096969.932304827,-0.571142884
186,186,1698618.867222244,6097049.938412943,-9999.0
187,187,1696716.361421885,6096998.625069627,-0.57404716
188,188,1698629.08760823,6096976.953389174,-9999.0
189,189,1701974.902389579,6096961.042324414,1.871352209
190,190,1701991.915728255,6096919.648682365,0.51973466
191,191,1701999.286333258,6096909.494776144,0.158149961
192,192,1698646.63182509,6096945.574964232,-9999.0
193,193,1702534.14028354,6096863.683034627,0.180475
194,194,1702595.42414134,6096862.986565656,0.14336
195,195,1702521.770278249,6096853.859288697,0.046625
196,196,1702531.709530565,6096841.448868187,-0.118499999
197,197,1696860.079659007,6096984.362988038,0.270364313
198,198,1701981.83119644,6096830.511879958,-9999.0
199,199,1702493.882793257,6096791.141763953,-0.316310352
200,200,1702480.122366135,6096784.581954913,-0.192475007
201,201,1702435.536559785,6096764.778593746,0.615048905
202,202,1702460.288734513,6096774.224398127,1.010698324
203,203,1697050.118056702,6096814.71593103,-0.796894747
204,204,1702422.694418701,6096755.204583204,0.141023806
205,205,1697124.903866408,6096820.959428518,-0.811049954
206,206,1698612.198694975,6096820.705808485,0.389552763
207,207,1702666.343431109,6096754.983503981,-0.022857592
208,208,1697217.651766603,6096804.564044612,0.329449591
209,209,1698573.689541909,6096768.310386804,-9999.0
210,210,1697296.445665715,6096766.326449615,0.130136365
211,211,1696976.506430911,6096811.23742405,0.024088057
212,212,1697402.507347328,6096760.383150118,-0.488037234
213,213,1701870.363050466,6096701.806389616,-9999.0
214,214,1697342.699804569,6096747.973800227,0.058202625
215,215,1697448.771188731,6096740.229857638,-0.032316892
216,216,1701836.625478838,6096682.61846073,-9999.0
217,217,1702633.851316134,6096663.466941625,-9999.0
218,218,1697227.189918383,6096709.576068946,-0.801237523
219,219,1701893.062382646,6096673.042107318,-0.333642908
220,220,1697501.160342737,6096694.513889105,-0.539498203
221,221,1701898.286634423,6096641.705189175,-9999.0
222,222,1696967.763100426,6096729.083870597,0.016736566
223,223,1697529.009120648,6096661.707470076,-0.604858639
224,224,1701906.282678382,6096611.517567227,-9999.0
225,225,1702068.686262976,6096626.447608989,0.768835243
226,226,1702461.287224414,6096590.490897331,-9999.0
227,227,1702713.930697869,6096639.192577907,-0.084829616
228,228,1701842.405614036,6096614.442654814,0.395246723
229,229,1702804.469941336,6096561.676924998,-0.218316494
230,230,1702812.41383183,6096541.657696985,-0.453954584
231,231,1697717.314369224,6096599.524384966,0.130776141
232,232,1697856.201554823,6096566.15585783,0.052815147
233,233,1697884.784451972,6096556.801212496,-0.167508764
234,234,1697919.520086057,6096560.808915133,-0.051010958
235,235,1699502.606220757,6096539.107334735,-9999.0
236,236,1702354.257366966,6096476.848403752,-9999.0
237,237,1702419.612869083,6096499.672460987,-0.234910307
238,238,1697997.637541275,6096535.249105429,0.027556259
239,239,1702125.044171377,6096459.783826398,-9999.0
240,240,1701907.950020701,6096452.938752895,-9999.0
241,241,1702836.30208114,6096458.476457601,-0.56400004
242,242,1701895.50750262,6096437.990050959,-9999.0
243,243,1702139.995814601,6096439.630628393,-9999.0
244,244,1702198.96031957,6096448.521923675,-0.2636452
245,245,1702827.33771259,6096421.858904802,-0.279000046
246,246,1697769.584315713,6096468.168129659,-9999.0
247,247,1697924.82813273,6096466.484758624,-9999.0
248,248,1702833.505400097,6096404.929911916,-0.163297632
249,249,1698019.573999752,6096455.651755943,-0.357283206
250,250,1702835.109868144,6096381.969246836,-0.200871011
251,251,1698057.380679244,6096423.635925788,0.660756737
252,252,1702839.671038911,6096361.80104294,-0.101295095
253,253,1698082.90234998,6096404.499908029,0.314239995
254,254,1702081.19257578,6096366.686607984,-9999.0
255,255,1697887.299544128,6096396.795599316,-0.935157889
256,256,1698110.785797779,6096394.178645663,0.318689657
257,257,1702835.251477113,6096342.110165386,-0.410575803
258,258,1697833.985826329,6096378.51904361,-9999.0
259,259,1698125.768109094,6096364.660007732,-9999.0
260,260,1698144.354186893,6096364.457877018,-0.937400043
261,261,1698340.424783527,6096362.293221097,0.100367812
262,262,1701959.664228578,6096302.428987637,-9999.0
263,263,1702212.954748886,6096299.563340459,-9999.0
264,264,1702539.781346607,6096295.855221526,-9999.0
265,265,1701971.532785623,6096291.545580787,-9999.0
266,266,1697612.733920621,6096339.331850312,-0.027841378
267,267,1698151.928652759,6096324.723054218,-9999.0
268,268,1698192.348579107,6096324.078946243,-9999.0
269,269,1699402.19468099,6096310.832137427,-9999.0
270,270,1699602.374807009,6096308.624684691,-9999.0
271,271,1702122.851938703,6096280.65486767,-9999.0
272,272,1702450.007582173,6096276.946252397,-9999.0
273,273,1702441.389378303,6096266.671052639,-9999.0
