OID,FID_,X,Y,BCE_Tairua
252,252,1852164.15388845,5896510.166729765,-0.55400002
253,253,1852171.24002034,5896460.067274984,-0.524050007
254,254,1852195.497885973,5896449.365922274,-0.555269234
255,255,1852178.636150073,5896439.891249854,-0.555500001
256,256,1852194.492915028,5896429.641839405,-0.555999994
257,257,1852186.032334634,5896419.715023516,-0.556074993
258,258,1852193.430094339,5896399.542176667,-0.556999981
259,259,1852200.891534586,5896374.797880782,-0.558420023
260,260,1852214.735598584,5896329.059917066,-0.56099999
261,261,1852213.570059132,5896163.748596579,-0.560287028
262,262,1852205.648697962,5896005.057972756,-0.521837495
263,263,1852289.241292697,5895877.84229685,-0.354803918
264,264,1852288.781888942,5895842.934544032,-0.473536045
265,265,1852284.64914034,5895781.053281374,-0.507978459
266,266,1852269.973539067,5895748.708171489,-0.51142502
267,267,1852261.388032526,5895729.009202763,-0.514349994
268,268,1852252.951529484,5895714.294381433,-0.515799975
269,269,1852236.524520634,5895699.818542318,-0.517837509
270,270,1852203.075867277,5895650.928797675,-0.52702501
271,271,1852231.619226511,5895581.114185131,-0.529872316
272,272,1851425.657549139,5895594.277640073,-0.607000038
273,273,1852072.853947448,5895574.993792268,-0.394325003
274,274,1851345.460752631,5895586.686050938,-0.591300011
275,275,1851481.291330423,5895582.644661853,-0.61787501
276,276,1852208.388118161,5895560.971137251,-0.533687484
277,277,1851321.19386538,5895577.430686137,-0.57323433
278,278,1851382.227679767,5895583.042651078,-0.598446665
279,279,1851417.074344772,5895574.578061596,-0.606620251
280,280,1851433.202618826,5895579.087094568,-0.609168767
281,281,1851576.853634409,5895569.094605957,-0.631346191
282,282,1851656.883341109,5895571.050703549,-0.584691726
283,283,1851672.863464823,5895570.574709086,-0.5750909
284,284,1851704.823714292,5895569.622629298,-0.556082696
285,285,1851775.919162809,5895568.796609854,-0.513358378
286,286,1851980.373352518,5895557.797178548,-0.315037505
287,287,1852044.304099489,5895556.240648125,-0.54580702
288,288,1852184.120073499,5895551.717751883,-0.535950014
289,289,1851336.294856205,5895567.003970486,-0.58236002
290,290,1851832.432797021,5895552.431806068,-0.489500005
291,291,1851912.160561403,5895549.853465657,-0.522025017
292,292,1852175.330472849,5895541.644577901,-0.537868121
293,293,1851264.670263518,5895559.156555957,-0.538475007
294,294,1851314.268134036,5895559.676774196,-0.570585433
295,295,1851940.93873226,5895542.759548135,-0.535346406
296,296,1852141.207795828,5895537.253354461,-0.538000047
297,297,1852118.491419986,5895527.136667291,-0.541814813
298,298,1851216.137632374,5895540.644410884,-0.512824988
299,299,1851256.087330968,5895539.45704272,-0.55394936
300,300,1852101.142921414,5895518.240675095,-0.542999983
301,301,1852065.855215708,5895505.454161142,-0.545132624
302,302,1851159.614721578,5895522.369899413,-0.486923074
303,303,1851175.594698463,5895521.895061688,-0.512099999
304,304,1851219.529028506,5895520.238277771,-0.559736365
305,305,1852026.529625541,5895496.554030346,-0.547337566
306,306,1851986.269550267,5895487.781480082,-0.549440271
