OID,FID_,X,Y,BCE_Tamaki
291,291,1769057.922244387,5912607.220580807,0.652727265
292,292,1765813.292977023,5912784.553972475,0.3372901
293,293,1769073.56646985,5912596.600769777,0.512941171
294,294,1769362.448766706,5912583.617733817,0.589624993
295,295,1765231.383268676,5912697.257087671,0.696708546
296,296,1765718.428848175,5912648.850158706,0.393236287
297,297,1765905.092560309,5912641.882710756,0.734200012
298,298,1765352.509207734,5912631.99219767,0.468740005
299,299,1765384.532255173,5912632.093737693,-0.785310365
300,300,1765688.632088077,5912626.167144867,0.19535
301,301,1765702.099624758,5912632.551130121,0.269884604
302,302,1765424.35116391,5912621.348032166,-9999.0
303,303,1769309.636427884,5912544.787977995,0.169937511
304,304,1769494.559424125,5912669.490041552,1.354901307
305,305,1765439.968138661,5912601.103021557,-9999.0
306,306,1768818.006666942,5912543.370776493,-0.166085019
307,307,1769282.633348744,5912518.887189821,0.200833335
308,308,1765942.963860447,5912531.467945312,0.886772154
309,309,1765974.779302886,5912520.875826351,1.013150007
310,310,1768775.458040241,5912468.698778943,0.386191172
311,311,1768791.087234495,5912435.461292585,-0.608589766
312,312,1768774.884068097,5912425.8126599,-0.544749998
313,313,1768671.937783228,5912425.009056068,0.068785716
314,314,1768758.680939346,5912416.163997469,-0.440249997
315,315,1768646.447541878,5912408.422706312,-0.486582267
316,316,1766581.003974991,5912408.575297019,0.393272732
317,317,1766537.907149273,5912405.162537792,1.256087641
318,318,1765820.201421881,5912394.279266006,0.308024998
319,319,1765870.177532148,5912561.071614427,0.777330352
320,320,1766516.50988396,5912385.641101472,0.346687504
321,321,1766860.254920252,5912368.558505108,1.04546667
322,322,1769124.912222739,5912314.157840656,1.131062497
323,323,1766947.774087406,5912333.034328942,0.955599991
324,324,1766910.813123793,5912316.922549819,0.858374793
325,325,1766982.496389062,5912324.850245062,1.022866757
326,326,1766448.863147804,5912347.800645393,0.206846847
327,327,1766384.469056609,5912297.386734798,0.206025105
328,328,1767011.092360433,5912296.162703023,1.145468754
329,329,1766366.219658329,5912273.925868029,0.120999998
330,330,1766354.020947896,5912264.194345299,0.06925
331,331,1766913.599649549,5912253.214889927,0.780363631
332,332,1766801.79735878,5912245.642221823,1.021403487
333,333,1766137.568587513,5912248.490510506,0.446883113
334,334,1765601.220936816,5912248.995312579,0.363850016
335,335,1765617.225642686,5912248.682876579,-0.824999928
336,336,1769290.082951791,5912166.292343233,1.279374999
337,337,1769393.121807904,5912143.712147991,0.879218737
338,338,1765642.328636647,5912191.123321935,1.459944174
339,339,1766123.700093851,5912202.520825356,0.511258736
340,340,1769096.660689555,5912461.965381477,0.998580585
341,341,1765660.71101716,5912151.553659906,0.427349698
342,342,1769439.571734711,5912043.429210872,0.668378387
343,343,1765748.984615336,5912026.763084973,-0.359500013
344,344,1766720.077148363,5912251.680248504,0.839869784
345,345,1769546.006116505,5911918.574380727,0.30480769
346,346,1769573.135466101,5911916.533178995,0.985714274
347,347,1766647.036942861,5911965.98147848,0.748921142
348,348,1765793.984408386,5911987.183608676,-0.197041395
349,349,1767604.287565558,5911930.524589644,2.36873413
350,350,1765835.644931621,5911955.278011263,-0.866000026
351,351,1766625.971722748,5911944.684066369,0.450566044
352,352,1767539.745952479,5911919.738003005,0.969318192
353,353,1769548.753194123,5911882.153923845,1.342181845
354,354,1769569.026470101,5911882.132100343,1.450275208
355,355,1767440.013733144,5911913.756535389,0.729299351
356,356,1769421.492441282,5911985.664348851,1.071664325
357,357,1769536.385604087,5911872.228926524,1.521625001
358,358,1769592.833597005,5911871.685970362,1.662477084
359,359,1765875.071073942,5911924.596393323,-0.939999998
360,360,1767477.389696957,5911937.395411769,0.643440514
361,361,1767566.334078971,5911914.22869516,1.057714048
362,362,1767603.500701802,5911890.657851995,1.140987671
363,363,1769499.7721954,5911858.847201031,1.530546994
364,364,1769618.769543,5911855.720230944,1.641055034
365,365,1767589.859343669,5911866.267221462,0.906294962
366,366,1766788.333050411,5911823.620388197,1.158399122
367,367,1766809.383406827,5911816.761106312,1.074821404
368,368,1766839.468874959,5911812.392153179,1.198571452
369,369,1765886.61013474,5911851.278902085,-0.0848859
370,370,1769593.288717924,5911742.587566322,0.672727266
371,371,1768446.664845687,5911753.923068456,0.897739121
372,372,1765928.553089059,5911793.935731387,-0.754125012
