OID,FID_,X,Y,BCE_Ohiwa_
448,448,1963261.73773675,5785258.988068983,0.144376545
449,449,1961533.651143789,5785326.30479537,-0.042500001
450,450,1963204.191785679,5785242.683750378,0.31583929
451,451,1963243.647472203,5785240.926584885,0.172654545
452,452,1956748.877648697,5785517.601972854,0.156018518
453,453,1962421.702347697,5785292.434251885,-0.047857391
454,454,1963345.60551601,5785230.607703565,-0.112872729
455,455,1956747.383144635,5785491.906237862,0.215454544
456,456,1963060.031233991,5785203.9252604,0.368925922
457,457,1963281.004720631,5785188.360254411,0.289000005
458,458,1963051.52964505,5785184.317543966,0.382337578
459,459,1963082.716777236,5785178.140832315,0.363618192
460,460,1963272.75709533,5785174.466611495,0.312898146
461,461,1963314.336197686,5785155.626181561,0.2195202
462,462,1965299.376467805,5785058.961392676,0.103038462
463,463,1961895.809011273,5785399.476439085,0.007511262
464,464,1961489.41489718,5785238.71470934,-0.194752898
465,465,1962472.201024439,5785168.836133991,-0.047715026
466,466,1963302.620135276,5785128.167344494,0.246941178
467,467,1961119.000532352,5785228.975681231,-0.452376097
468,468,1961450.498490243,5785185.479671817,-0.250998417
469,469,1963738.440546809,5785073.765271174,-0.523315284
470,470,1962530.453415584,5785112.562887252,-0.078593547
471,471,1964935.589304682,5784997.364783665,-0.056641639
472,472,1963330.498658249,5785056.973509984,0.171370689
473,473,1961412.253881899,5785153.781771238,-0.198623729
474,474,1962576.025618564,5785070.564897377,-0.142905658
475,475,1961388.222763451,5785118.289471291,-0.247000004
476,476,1961360.032713584,5785104.496594772,-0.208751594
477,477,1962610.07644756,5785043.780109723,-0.191371677
478,478,1962629.48823824,5785028.215748627,-0.217603892
479,479,1961346.228443926,5785084.100919025,-0.203281588
480,480,1961709.603672875,5785059.282135774,-0.688622641
481,481,1961764.839655438,5785056.832093802,-0.499982124
482,482,1961243.757088028,5785069.729241393,-0.122300002
483,483,1961267.208684064,5785063.693989277,-0.118292375
484,484,1961326.389893073,5785061.072150914,-0.20548571
485,485,1962685.939257253,5784980.125768454,-0.175817353
486,486,1962705.430702807,5784959.7824376,-0.155809066
487,487,1962739.469991877,5784923.394134684,-0.084233766
488,488,1962742.306349474,5784898.285377017,-0.209773887
489,489,1961155.726494644,5784948.264419604,-0.213554054
490,490,1962761.08641258,5784877.417940802,-0.120109937
491,491,1961122.873100519,5784918.120427387,-0.138246016
492,492,1963464.479737072,5784781.188377038,-0.726999998
493,493,1962465.708438743,5784815.858676959,-0.726999998
494,494,1962824.862936256,5784799.662548316,0.0542625
495,495,1961056.682148674,5784872.753841861,-0.079549184
496,496,1961036.884765298,5784858.483431247,-0.016681814
497,497,1962843.860116629,5784768.854215947,-0.138204081
498,498,1963356.177214703,5784746.042543127,0.311521007
499,499,1961492.94695787,5784809.073936544,-0.42778182
500,500,1962873.959754795,5784747.528725307,-0.136000005
501,501,1963314.164093835,5784734.493720774,0.14057341
502,502,1963272.008361931,5784720.164222648,0.112982136
503,503,1960974.356082628,5784817.936587409,-0.043224141
504,504,1962927.133045739,5784731.427147928,0.05254856
505,505,1963251.222474123,5784700.960799762,-0.720563635
506,506,1962955.257734554,5784708.934816713,-0.108693039
507,507,1963440.883280633,5784682.308557506,-0.726999998
508,508,1962993.921795538,5784690.148758242,-0.144811591
509,509,1963297.355897008,5784667.989345387,-0.726999998
510,510,1960867.141004915,5784764.724497065,1.532863641
511,511,1962578.747138808,5784690.917159536,-0.726999998
512,512,1958786.634260046,5784829.045675974,0.023547169
513,513,1960806.921137666,5784740.680601929,-0.165887928
514,514,1963168.318691797,5784614.715411419,-0.498107148
515,515,1960728.451479576,5784698.608913687,-0.282923303
516,516,1963288.999645416,5784569.158978727,0.121649999
517,517,1963396.096632697,5784564.386801836,-0.726999998
518,518,1962570.515946859,5784581.737171277,-0.726999998
519,519,1963185.97184901,5784554.347801755,-0.472074085
520,520,1960662.058238615,5784669.117557629,-0.19044656
