OID,FID_,X,Y,BCE_Mouter
307,307,1601172.543287326,5444691.308308996,3.501888904
308,308,1602282.085261194,5444693.644330454,0.96076471
309,309,1602300.92934805,5444693.258621848,0.931588802
310,310,1601151.980816246,5444683.209057055,0.546608694
311,311,1601591.150368101,5444681.806205612,-0.364672934
312,312,1602281.92362626,5444663.2038431,0.590584917
313,313,1601502.790455923,5444653.229029004,-9999.0
314,314,1601664.472070005,5444654.088270837,-0.289219603
315,315,1602330.702072719,5444666.35985535,0.743501871
316,316,1601167.930210336,5444655.800169013,0.689974912
317,317,1601196.64905686,5444633.341401407,0.896628582
318,318,1601572.684836005,5444639.821051896,-0.848458622
319,319,1601177.857902471,5444628.313144049,-9999.0
320,320,1602356.973325391,5444613.103526996,1.043166679
321,321,1601272.869204305,5444594.448878864,0.241542857
322,322,1601654.822680669,5444606.897120301,-9999.0
323,323,1601374.169474882,5444574.058643177,-0.511431376
324,324,1601718.113580014,5444581.180124288,-9999.0
325,325,1602395.111032874,5444573.214236676,1.044974974
326,326,1601499.966045617,5444602.221908505,-9999.0
327,327,1601434.466030344,5444554.102859172,-0.738254916
328,328,1601803.410240034,5444563.412157077,-0.67411999
329,329,1601554.240122262,5444544.190663096,-0.666228581
330,330,1601314.100819144,5444534.949589298,0.08324706
331,331,1601504.03208983,5444534.436815366,-0.542833326
332,332,1601543.206345655,5444533.350945306,-0.482320759
333,333,1601587.652567205,5444539.698944489,-0.501047629
334,334,1601646.260420191,5444544.99103579,-0.49832639
335,335,1601693.956779507,5444533.726559996,-0.218326921
336,336,1601724.106849055,5444533.719507312,-0.264384602
337,337,1601332.15230905,5444513.857292512,0.044905661
338,338,1601693.949843217,5444503.810267341,-0.085096158
339,339,1601454.760882959,5444506.990815561,-0.442369206
340,340,1602568.17176787,5444493.273632469,0.993508932
341,341,1601286.558464398,5444483.693277204,0.841730788
342,342,1601521.933094177,5444484.434663407,0.01681579
343,343,1601625.881612246,5444486.794869098,-0.06013921
344,344,1601686.40545123,5444473.895717018,-0.237773586
345,345,1601615.376274783,5444463.069703996,0.018165048
346,346,1601746.702712372,5444463.909451066,-0.013807692
347,347,1601766.096022181,5444464.281336654,-0.056550001
348,348,1601927.601401509,5444463.863962094,-0.336039221
349,349,1601377.366009703,5444454.016317979,-0.077519234
350,350,1601437.96973577,5444454.004641109,-0.094660376
351,351,1601426.936267921,5444443.164741036,-0.015184466
352,352,1601332.289847838,5444433.875974256,1.76881429
353,353,1601470.197184711,5444439.43772573,-0.179618749
354,354,1601669.161581268,5444444.977516501,-0.02980314
355,355,1602575.126440988,5444442.825326576,0.961861735
356,356,1601308.028293197,5444442.469856475,0.766252207
357,357,1601445.195034772,5444414.114818446,-0.000461539
358,358,1601492.759955022,5444411.343237896,-0.078186957
359,359,1601331.913664688,5444393.115488156,0.728637273
360,360,1601557.899927496,5444378.415103435,0.133663459
361,361,1601625.476706768,5444405.681206028,0.124344518
362,362,1602351.545927127,5444380.271203784,1.2225776
363,363,1601437.772488888,5444354.859423619,0.286589037
364,364,1601535.629089032,5444344.291668403,0.096596154
365,365,1601728.378123847,5444334.6530573,-0.122148513
366,366,1601460.403817122,5444323.429630639,0.407979597
367,367,1602566.915232061,5444313.671172058,1.066571413
368,368,1601490.547063417,5444294.235995313,0.565342863
369,369,1601490.542994188,5444274.291792907,0.566657142
370,370,1602551.207009994,5444224.13786664,0.702264372
371,371,1602229.020108721,5444204.503580464,-0.294403848
372,372,1602786.923316474,5444204.107542981,1.212987469
373,373,1602552.034556604,5444199.615222041,1.273595962
374,374,1602758.927549947,5444202.693586684,1.102773573
375,375,1602801.685245154,5444193.784962118,1.269169017
376,376,1602259.162652641,5444184.550113805,-0.645759255
377,377,1602311.919598158,5444174.561504223,0.881407401
378,378,1601531.975909506,5444169.576144735,0.685043749
379,379,1601840.674932897,5444169.813262577,0.293202972
380,380,1602688.921652812,5444154.283727534,0.997284223
381,381,1602722.838851288,5444154.620145038,0.954415851
382,382,1602643.847328278,5444144.123590921,0.853461541
383,383,1602082.574932622,5444135.118617476,0.363409997
384,384,1602293.613908524,5444135.055405471,-0.065267326
385,385,1602311.556756854,5444128.912947776,0.909264707
386,386,1602251.600906343,5444104.775613055,-0.47903847
387,387,1601505.580499412,5444094.790851938,0.661399989
388,388,1602593.460620622,5444100.936856819,0.584571429
389,389,1602311.888038755,5444074.840466351,-0.291698113
390,390,1602414.187835703,5444075.183922378,0.304720001
391,391,1602446.068258398,5444075.46545802,0.251759807
392,392,1602522.925275916,5444074.770628975,-0.723000016
393,393,1602594.04660138,5444075.545869534,-0.357578064
394,394,1602771.799772155,5444074.475931061,1.060100008
395,395,1601505.575361245,5444069.860594373,0.602785721
396,396,1602868.925636559,5444076.451260827,0.817228469
397,397,1602471.91618453,5444055.689459818,-0.149248805
398,398,1602734.259278403,5444054.750371422,0.491461543
399,399,1602794.923073914,5444059.401800261,0.382614096
400,400,1602376.492880302,5444045.279965113,0.20948
401,401,1602455.081686474,5444044.468415003,-0.268018859
402,402,1602904.083841515,5444045.089273369,0.406067962
403,403,1602296.387232427,5444028.589638149,-0.821473704
404,404,1602639.883483259,5444024.664259571,-9999.0
405,405,1602836.239102205,5444015.199609489,0.048470587
406,406,1602920.222310198,5444016.903665811,0.317024439
