OID,FID_,X,Y,BCE_Akaroa
127,127,1594180.040909335,5154388.356199919,-0.71689508
128,128,1595927.656403819,5154258.034177243,-0.68937022
129,129,1594116.373787709,5154246.856342904,-0.535778092
130,130,1592975.21217251,5154222.472717781,0.037057143
131,131,1594127.245637189,5154216.93589176,-0.298428577
132,132,1593537.976877624,5154216.390804742,-9999.0
133,133,1593859.086516183,5154234.682037273,-9999.0
134,134,1592992.901216179,5154201.554991136,0.063400001
135,135,1593049.963395784,5154185.969921097,-0.195000007
136,136,1593057.441468746,5154178.0101519,0.071571424
137,137,1593896.205293921,5154191.147729483,-9999.0
138,138,1594135.356588285,5154180.865189487,-0.373173542
139,139,1593429.658414849,5154517.540298999,-0.650012182
140,140,1593218.394969955,5154154.664170562,-9999.0
141,141,1593872.538575323,5154142.954555035,-9999.0
142,142,1597009.77086631,5154163.043940952,0.035229323
143,143,1596459.443274504,5154129.376862069,-9999.0
144,144,1593191.731361007,5154110.290957477,-0.424191536
145,145,1594152.245241074,5154116.460159013,-0.324284027
146,146,1593227.878594605,5154098.294418649,-0.256308706
147,147,1594196.301790636,5154155.121198185,0.039964194
148,148,1593236.665390486,5154069.230570517,-0.203319688
149,149,1594147.957151846,5154066.440380828,0.645919601
150,150,1594200.775978822,5154047.740992188,-9999.0
151,151,1594147.74295858,5154037.830833154,0.688166664
152,152,1594210.549933805,5154037.428662533,-9999.0
153,153,1594141.183653475,5154013.790572755,1.528026788
154,154,1594214.18662797,5154012.490142811,-0.706874998
155,155,1594134.537219453,5153992.817463847,2.065263149
156,156,1594105.775275446,5153967.500139736,-0.682190482
157,157,1596733.659706379,5153973.865249412,-9999.0
158,158,1594201.9762733,5153955.747983682,-0.907899958
159,159,1596722.906634565,5153949.554835857,-9999.0
160,160,1594186.083183012,5153931.328744156,-0.954999954
161,161,1596925.091301945,5153929.885480396,1.638785692
162,162,1596719.854080671,5153916.154872824,-9999.0
163,163,1593238.25370167,5153886.863272249,-9999.0
164,164,1594092.031430506,5153920.979324482,0.549738359
165,165,1594076.93939977,5153872.696173689,0.244781247
166,166,1594198.925538259,5153873.820307749,-0.681410016
167,167,1594025.877194282,5153842.148996188,-9999.0
168,168,1593180.775499045,5153832.303948995,-0.910203823
169,169,1594066.134484103,5153827.791515667,-0.152935724
170,170,1594219.585854747,5153833.797206012,-9999.0
171,171,1594040.843318133,5153812.803939323,-0.857282995
172,172,1596777.730970213,5153800.30823142,-9999.0
173,173,1594203.532367255,5153792.994036278,-0.206379295
174,174,1596807.508906911,5153796.295516967,-9999.0
175,175,1593167.107075811,5153786.309999106,-0.867254242
176,176,1594040.820976149,5153772.948265626,0.278512582
177,177,1596644.766218561,5153760.478838908,-9999.0
178,178,1593158.86263908,5153752.097106838,-0.780062462
179,179,1594199.952172692,5153753.084217232,-9999.0
180,180,1593148.033338379,5153737.120957149,-0.949666679
181,181,1596668.619046783,5153745.110102993,-9999.0
182,182,1596733.769693948,5153749.403212554,-9999.0
183,183,1593989.220591551,5153740.852949513,-0.365566146
184,184,1596643.633171402,5153729.820786836,-9999.0
185,185,1596726.570477395,5154230.126108231,-0.471624446
186,186,1593129.979471281,5153717.149016875,-0.64476364
187,187,1593120.771759674,5153699.940138494,-0.931999988
188,188,1593097.807372147,5153676.631672258,-0.898749985
189,189,1594209.00907993,5153685.738698752,-0.681862389
190,190,1593080.101309305,5153657.235273954,-0.797736831
191,191,1596723.016638518,5153691.913544821,-0.51370398
192,192,1593091.898844243,5153643.393071318,-0.943999966
193,193,1593972.87028728,5153687.453353866,0.465856536
194,194,1596592.929815561,5153630.236186051,-9999.0
