OID,FID_,X,Y,BCE_Waimea
184,184,1608108.166596055,5432346.965963571,0.325298852
185,185,1608155.033779406,5432333.362373813,0.241924525
186,186,1608174.39520115,5432333.717208786,0.237166665
187,187,1608452.32707264,5432360.786311791,-0.833625993
188,188,1608435.160819454,5432318.504459715,-0.037611109
189,189,1607309.024784243,5432310.859375418,0.335364158
190,190,1607695.981868531,5432303.945369669,-0.097730757
191,191,1608162.828887834,5432303.436726673,-0.018653851
192,192,1608862.491708535,5432302.413843334,1.215157144
193,193,1607997.270313089,5432293.648231792,-9999.0
194,194,1608492.980849676,5432304.974192454,-9999.0
195,195,1607116.54572496,5432284.590431452,0.287461534
196,196,1607184.269561597,5432284.523892972,0.343865389
197,197,1607985.819954827,5432283.483990599,-9999.0
198,198,1608222.70174815,5432283.424720105,-0.203666667
199,199,1607351.154406483,5432274.914060658,0.177289474
200,200,1607384.217589624,5432274.72802233,0.353107845
201,201,1607485.254136825,5432274.248251065,0.023607841
202,202,1607997.096303085,5432273.499308549,-9999.0
203,203,1608245.642742125,5432273.239014222,0.809977773
204,204,1608472.672137161,5432276.950107567,-0.934000027
205,205,1607582.669902028,5432263.970593934,-0.330360011
206,206,1608204.018726113,5432263.296685707,-0.811769924
207,207,1608426.237363257,5432261.763953944,-0.167571436
208,208,1608456.089624184,5432253.035865147,-9999.0
209,209,1608847.381309711,5432252.570698396,1.313114285
210,210,1607105.768528305,5432245.088316773,0.431435639
211,211,1607394.925411918,5432244.423691063,-0.12641508
212,212,1608100.556972648,5432248.707279232,-9999.0
213,213,1606797.241191604,5432235.410716005,0.352892153
214,214,1607906.25974485,5432238.127411348,0.706264714
215,215,1608433.491992007,5432233.117476697,-0.838
216,216,1608016.250991463,5432224.197783082,-0.316170211
217,217,1608392.432286021,5432226.079135441,0.325518413
218,218,1608418.608059832,5432221.036570781,-0.515959193
219,219,1608260.523346732,5432216.029201915,-0.094949342
220,220,1608316.822705809,5432202.987479741,-0.641363652
221,221,1608370.093092926,5432205.893758837,-0.242288478
222,222,1608825.29501046,5432202.735979958,1.387963605
223,223,1606807.942068956,5432195.134958056,0.45792308
224,224,1608328.099705725,5432194.076770291,-9999.0
225,225,1606827.293693195,5432185.521084529,0.385098034
226,226,1607146.547281083,5432184.83802526,0.41280769
227,227,1607370.259224104,5432186.967941525,-0.100194803
228,228,1608026.945109976,5432183.920223682,0.413584905
229,229,1607157.578905083,5432174.069301047,0.329941744
230,230,1608810.002565256,5432179.285977277,1.327923099
231,231,1606857.373971769,5432165.548201568,0.302079211
232,232,1607266.923647884,5432164.774216248,0.383730759
233,233,1608797.216795245,5432162.523370498,1.305270807
234,234,1606868.405993436,5432154.779921317,0.331230765
235,235,1608027.215845424,5432154.003011072,-0.770520004
236,236,1608019.375935931,5432143.630329154,0.086192305
237,237,1608768.63583499,5432143.55169065,0.952715676
238,238,1606819.712855038,5432125.694386371,0.494659994
239,239,1608038.317813722,5432123.869329504,-9999.0
240,240,1608756.927233825,5432123.040108414,0.953125006
241,241,1607876.03094002,5432118.492540274,1.039809526
242,242,1606626.921685439,5432109.764897465,0.408247619
243,243,1606657.020442816,5432109.737426739,0.366124997
244,244,1608031.633302063,5432103.932091864,-9999.0
245,245,1608738.091520748,5432103.118129935,0.712586672
246,246,1607904.956846219,5432084.996159606,0.445539603
247,247,1608501.192735401,5432083.6586202,0.035384614
248,248,1606860.806431138,5432075.417695843,-0.62298077
249,249,1607959.253073546,5432073.36755861,-0.691999998
250,250,1607998.944460537,5432074.051182847,-9999.0
251,251,1606605.335301571,5432072.7017734,0.331018005
252,252,1607000.248245245,5432065.689151453,-0.64860784
253,253,1607778.49986202,5432064.522356965,0.223117649
254,254,1607921.468100315,5432064.368137533,-0.599085104
255,255,1606041.931634061,5432068.01235464,0.805164754
256,256,1606740.089763518,5432055.585897965,-0.6593889
257,257,1606814.244311322,5432056.218010071,-0.381414016
258,258,1606865.387492329,5432059.748182587,-0.333081079
259,259,1606920.337155696,5432059.630280777,-0.201689323
260,260,1607895.27229257,5432053.872444671,-0.669093009
261,261,1608487.860588586,5432066.536520444,0.335125001
262,262,1606697.079699202,5432050.470584741,-0.475919455
263,263,1608072.231074016,5432033.876526849,-0.673666653
264,264,1606795.384136081,5432036.89739937,-0.157810959
265,265,1607620.440137871,5432024.391345145,-0.803399993
266,266,1606800.552901216,5432015.231415189,0.067666667
267,267,1608093.292250178,5432020.611232254,-0.414554765
268,268,1607833.326926412,5432004.425196739,-9999.0
269,269,1608011.850396011,5432004.957990578,-0.554729149
270,270,1607058.473788764,5431997.631662589,-0.099140187
271,271,1608706.384157624,5432274.180607062,-0.073604606
272,272,1607934.514727719,5431984.370957625,-0.982000053
273,273,1607970.442929571,5431984.679039752,-0.708752497
274,274,1607063.571567192,5431975.500672997,0.038076923
275,275,1607860.830730454,5431978.896691279,-9999.0
276,276,1608482.1127345,5431983.753296944,0.57583111
277,277,1608732.105153225,5431980.7048349,-0.395897445
278,278,1607932.798378723,5431964.775558857,-0.042575745
279,279,1608470.80267572,5431963.821846412,0.795987505
280,280,1608759.874662919,5431969.775991946,0.574392741
281,281,1608019.324724985,5431959.347222746,0.27577174
282,282,1608463.266536823,5431953.858305396,0.725802827
283,283,1608034.508917349,5431944.167504742,0.336461541
284,284,1608064.303726624,5431944.543567891,0.484867929
285,285,1608155.84005027,5431952.761237371,0.80233378
286,286,1608315.350457347,5431951.54427117,1.121962112
287,287,1607943.900513414,5431934.703693444,0.078615383
288,288,1607999.131301683,5431936.512992979,0.307518677
289,289,1608117.115880332,5431934.308024972,1.161536349
290,290,1608493.787480564,5431938.341641818,0.56381553
291,291,1608752.942978485,5431938.557177094,-0.7518587
292,292,1608809.341603381,5431933.463218996,1.431587305
293,293,1607752.563945849,5431925.314298362,0.505782176
294,294,1608335.163619955,5431924.293744002,0.75566038
295,295,1606806.074498031,5431936.075477898,0.684725216
296,296,1608481.80154111,5431918.505138768,0.602835821
297,297,1606614.270388999,5431913.131818833,0.85416191
298,298,1607755.755876184,5431904.989725917,0.250245285
299,299,1608166.051925369,5431920.825104705,1.045390274
300,300,1608406.026762318,5431921.593214941,1.08918908
301,301,1607763.573002142,5431894.600061778,-0.075803943
302,302,1607823.465466928,5431894.944937662,-9999.0
303,303,1608335.129352509,5431894.376853802,0.550509805
304,304,1608089.370985629,5431909.560236013,1.130030461
305,305,1608455.660047598,5431883.333828659,0.638899999
306,306,1608294.271128292,5431874.855474854,-0.119901962
307,307,1608370.410110603,5431878.896899314,0.083092932
308,308,1608791.973659363,5431911.652601848,0.190342783
309,309,1608274.899580476,5431864.528662995,-0.198792446
310,310,1607744.965149041,5431855.516233377,-0.730990178
