OID,FID_,X,Y,BCE_Pareng
1964,1964,1596263.213599324,6176940.925918458,-0.745000005
1965,1965,1596027.44072385,6176880.268249501,-0.739367046
1966,1966,1595325.27187757,6176855.60937354,-0.08314118
1967,1967,1595480.757112263,6176862.967536277,-0.730187381
1968,1968,1596433.81403874,6176838.422738949,-0.745000005
1969,1969,1595226.387046407,6176820.694627085,-0.586457065
1970,1970,1594834.90386767,6176810.523504579,-0.595000029
1971,1971,1595086.710869109,6176811.241632525,-0.595000029
1972,1972,1595247.475446548,6176815.20440845,-0.32379498
1973,1973,1596386.552974876,6176841.374241821,-0.745000005
1974,1974,1596239.004618739,6176812.602829338,-0.745000005
1975,1975,1596129.05297389,6176791.436113452,-0.745000005
1976,1976,1595078.484876712,6176781.353540868,-0.595000029
1977,1977,1595240.622774861,6176789.070290157,-0.587535646
1978,1978,1595269.472616932,6176780.871745992,-0.282350665
1979,1979,1595103.215638374,6176771.40539631,-0.595000029
1980,1980,1596145.206897056,6176771.520363486,-0.745000005
1981,1981,1596499.774397317,6176771.456758192,-0.745000005
1982,1982,1596169.940599413,6176751.608134156,-0.745000005
1983,1983,1595851.140390257,6176747.097415057,0.011510638
1984,1984,1596344.501844749,6176742.246727268,-0.745000005
1985,1985,1594311.123450184,6176731.192417237,-0.208986093
1986,1986,1595201.350975304,6176736.319182679,-0.595000029
1987,1987,1595532.603533754,6176740.812183297,-0.745000005
1988,1988,1596170.286873964,6176731.685793987,-0.745000005
1989,1989,1596516.103921359,6176731.822228553,-0.745000005
1990,1990,1594216.651199579,6176720.711450326,-0.125827587
1991,1991,1594299.069251421,6176720.353942816,-0.181482762
1992,1992,1596344.509701911,6176722.324247311,-0.745000005
1993,1993,1595238.253208507,6176715.538609242,-0.595000029
1994,1994,1596185.855085745,6176719.877830098,-0.745000005
1995,1995,1596543.279861525,6176714.455355516,-0.745000005
1996,1996,1596464.731286556,6176709.720724504,-0.745000005
1997,1997,1596210.592635572,6176690.004250382,-0.745000005
1998,1998,1596227.661618087,6176681.90311238,-0.745000005
1999,1999,1596499.639155295,6176682.009816751,-0.745000005
2000,2000,1596522.536931858,6176678.523513589,-0.745000005
2001,2001,1596557.335059638,6176672.07018431,-0.745000005
2002,2002,1596227.669726552,6176661.980630531,-0.745000005
2003,2003,1596491.404953371,6176662.084218943,-0.745000005
2004,2004,1595279.443121854,6176651.380668419,-0.595000029
2005,2005,1596499.217237958,6176651.921646873,-0.745000005
2006,2006,1596252.402959563,6176642.06817833,-0.745000005
2007,2007,1596484.704455936,6176641.047790208,-0.745000005
2008,2008,1595049.118849294,6176631.542294396,-0.595000029
2009,2009,1595238.677945134,6176631.64161132,-0.595000029
2010,2010,1595445.403762123,6177303.48962339,-0.610056918
2011,2011,1596364.269395514,6176632.528440717,-0.745000005
2012,2012,1596422.77072447,6176727.48309199,-0.744326204
2013,2013,1596525.663925266,6176639.900764066,-0.745000005
2014,2014,1596268.894395846,6176622.152345523,-0.745000005
2015,2015,1594150.15319738,6176652.523851166,-0.205155056
2016,2016,1596409.00699232,6176612.246446958,-0.745000005
2017,2017,1595189.243257513,6176601.732349389,-0.595000029
2018,2018,1596268.902415845,6176602.229861954,-0.745000005
2019,2019,1596623.2979693,6176592.404509144,-0.745000005
2020,2020,1596293.635400902,6176582.31729817,-0.745000005
2021,2021,1596540.888767243,6176572.451632041,-0.745000005
2022,2022,1596564.174703074,6176599.98262783,-0.745000005
2023,2023,1595189.263939113,6176561.887378096,-0.595000029
2024,2024,1596309.747972279,6176556.647259109,-0.745000005
2025,2025,1596511.862133603,6176557.602647603,-0.745000005
2026,2026,1596633.342602791,6176559.202094502,-0.745000005
2027,2027,1594142.754492823,6176546.138959544,-0.366303836
2028,2028,1596639.802965414,6176532.643045689,-0.745000005
2029,2029,1596666.9709254,6176535.198291249,-0.745000005
2030,2030,1596334.867311019,6176522.566229749,-0.745000005
2031,2031,1596351.35051469,6176522.572733449,-0.745000005
2032,2032,1596545.627625056,6176523.024128315,-0.745000005
2033,2033,1594175.573756262,6176511.499542798,-0.14777586
2034,2034,1596685.306257955,6176517.513282545,-0.745000005
2035,2035,1596590.367960397,6176492.780013286,-0.745000005
2036,2036,1596707.970694702,6176499.167283657,-0.745000005
2037,2037,1594175.930569532,6176481.616020915,-0.13550877
2038,2038,1595191.665876223,6176500.401480486,-0.595000029
2039,2039,1596350.780840412,6176490.835632571,-0.745000005
2040,2040,1596722.405774425,6176482.662121163,-0.745000005
2041,2041,1594128.361765165,6176475.806743583,-0.429395721
2042,2042,1596376.098689906,6176462.814973057,-0.745000005
2043,2043,1596755.382500706,6176452.789989807,-0.745000005
2044,2044,1594159.458848381,6176457.042658957,-0.216283216
2045,2045,1594183.865360026,6176431.814757401,-0.097500005
2046,2046,1595172.26758159,6176430.529189681,-0.595000029
2047,2047,1596392.597296385,6176422.976426627,-0.745000005
2048,2048,1596784.236529783,6176427.896933065,-0.722018755
2049,2049,1595094.262132992,6176412.880130597,-0.595000029
2050,2050,1594090.206289154,6176420.007047206,-0.529673313
2051,2051,1594132.101175102,6176416.635965599,-0.277094768
2052,2052,1594285.320654608,6176409.888849798,0.059474129
2053,2053,1594164.685531716,6176394.648900651,-0.366849679
2054,2054,1595156.391095238,6176382.567807777,-0.595000029
2055,2055,1595263.10117084,6176607.884585376,-0.591364716
2056,2056,1596804.853286709,6176390.30214403,-0.745000005
2057,2057,1595156.401507402,6176362.64531592,-0.595000029
2058,2058,1596825.896679938,6176363.744427782,-0.745000005
2059,2059,1594234.641786387,6176376.944826739,-0.173410089
2060,2060,1595115.204704906,6176342.701195444,-0.595000029
2061,2061,1595247.067791588,6176342.769760209,-0.595000029
2062,2062,1596848.822740888,6176346.568943148,-0.745000005
2063,2063,1596708.520617292,6176345.671012401,-0.745000005
2064,2064,1596710.380666423,6176418.614826679,-0.745000005
2065,2065,1596867.117450729,6176323.913467454,-0.745000005
2066,2066,1596887.290625834,6176323.339033669,-0.745000005
2067,2067,1596769.521255937,6176305.930353158,-0.745000005
2068,2068,1596912.019877407,6176308.405431378,-0.745000005
2069,2069,1594188.679182753,6176282.775965218,-0.035153152
2070,2070,1595193.34166379,6176288.058938945,-0.595000029
2071,2071,1596932.629998911,6176288.48978603,-0.745000005
2072,2072,1595074.751357722,6176278.296453456,-0.595000029
2073,2073,1594030.544391362,6176249.044787254,-0.128999993
2074,2074,1593026.544168326,6176240.056231321,1.724325331
2075,2075,1593108.308276064,6176239.590479543,0.601095752
