OID,FID_,X,Y,BCE_Mahura
307,307,1755866.799207638,5963920.098931451,-9999.0
308,308,1755044.233543704,5963902.94231875,-9999.0
309,309,1752429.871078422,5963936.754468035,0.946249989
310,310,1752598.751533096,5963923.803681278,0.820249984
311,311,1755029.94793971,5963880.508991134,-9999.0
312,312,1752451.541507423,5963922.526455405,0.922448974
313,313,1752614.676053576,5963913.55351541,0.614556947
314,314,1752630.600536945,5963903.303318818,0.580123452
315,315,1752670.675809106,5963892.62624317,0.515875001
316,316,1752491.810297301,5963796.097917704,0.840250006
317,317,1755743.071194019,5963946.074546154,-9999.0
318,318,1755840.155433152,5963706.424730984,-9999.0
319,319,1755850.522952203,5963685.896190545,-9999.0
320,320,1755866.038540148,5963659.290148974,-9999.0
321,321,1755898.91108668,5963612.397560059,-9999.0
322,322,1755910.448380306,5963585.528032197,-9999.0
323,323,1755918.318552968,5963575.416944977,-9999.0
324,324,1755931.966951354,5963562.449662996,-9999.0
325,325,1755941.928957772,5963545.083635749,-9999.0
