OID,FID_,X,Y,BCE_Coroma
133,133,1819197.137103854,5926827.220467373,-0.046274998
134,134,1821757.367467504,5926749.812932972,-0.165947367
135,135,1822153.358378957,5926765.149941596,-0.29531032
136,136,1821748.662886639,5926740.544252294,-0.1765714
137,137,1822549.509995726,5926723.261440059,0.129294277
138,138,1821729.570852486,5926728.788535086,-0.086625859
139,139,1823071.520785923,5926631.830917606,1.234106361
140,140,1819148.34954391,5926769.218169444,-0.740135902
141,141,1823287.666417963,5926618.11204034,0.909750015
142,142,1823303.702442706,5926617.69246064,0.963000003
143,143,1823260.852789249,5926615.488724872,0.968776855
144,144,1823271.387312005,5926600.975941794,0.940477259
145,145,1823371.761760895,5926610.99772569,0.949346132
146,146,1823347.386953856,5926578.097610704,0.831387943
147,147,1823324.716425072,5926580.878751122,0.862588229
148,148,1823362.530763594,5926571.242428702,-9999.0
149,149,1822042.322082943,5926638.66429764,-0.663622603
150,150,1822724.045733951,5926542.342811071,0.223072723
151,151,1823343.269786182,5926522.844199779,0.917000004
152,152,1822715.786654343,5926533.311237024,0.1374
153,153,1823289.170439482,5926513.700417383,1.463999987
154,154,1821934.111065914,5926549.722640478,-0.774916395
155,155,1822759.624955735,5926522.192551049,0.281155279
156,156,1822827.487484755,5926552.613058796,0.423279276
157,157,1823340.923036557,5926506.999250327,0.965599988
158,158,1819097.485238805,5926629.145012652,-0.56512782
159,159,1823331.242397369,5926447.368774805,0.946289919
160,160,1823352.169228108,5926432.335943,0.872101678
161,161,1823277.659326896,5926388.960970501,0.795699994
162,162,1823369.994274392,5926391.531865958,1.008519012
163,163,1819024.112132004,5926494.205411873,0.85996249
164,164,1823330.763350573,5926374.271995208,1.018461543
165,165,1819050.990822515,5926517.085139028,-0.595109135
166,166,1823262.923380472,5926345.785328584,0.564108684
167,167,1822617.95112712,5926315.081309145,-0.430747337
168,168,1822812.713252994,5926250.769280558,0.056156863
169,169,1819013.542486273,5926326.37422486,-0.735311436
170,170,1819003.088401642,5926300.249779448,-0.553549983
171,171,1823274.582367909,5926200.836881001,0.662889631
172,172,1819056.49659763,5926278.930653989,-0.963
173,173,1823532.493170847,5926162.850666746,0.708037042
