FID,X,Y,BCE_Manukau_Harbour_System_MHS__Seagrass
419,1752439.680653442163020,5910500.910286197438836,
420,1753067.838879337999970,5910609.807758062146604,
421,1753353.323917352361605,5910480.585499741137028,
422,1758840.588664913782850,5910378.243753720074892,0.024788733000000
423,1762128.363186203874648,5910315.291035795584321,0.158713136000000
424,1762260.059835764812306,5910312.884191797114909,0.329527781000000
425,1750213.871888716006652,5910521.833230442367494,-0.750000011000000
426,1750253.872725591296330,5910521.125189311802387,-0.758411218000000
427,1750308.135476094437763,5910548.647745750844479,-0.654438584000000
428,1752358.051309865666553,5910489.747596826404333,
429,1752465.648523926967755,5910480.896386366337538,
430,1752539.810558944474906,5910485.872757583856583,
431,1756837.606939382152632,5910401.083941771648824,-0.443185841000000
432,1756890.271238974994048,5910432.059695807285607,-0.773599982000000
433,1750193.104986784048378,5910511.848269594833255,-0.770363634000000
434,1752561.156039184890687,5910469.612927137874067,
435,1759675.254829253535718,5910353.597053756937385,0.703203177000000
436,1762318.656089162454009,5910313.302300368435681,0.255062170000000
437,1749034.030795756494626,5910521.337191753089428,-0.744000012000000
438,1749955.990858118515462,5910592.893773531541228,-0.860690676000000
439,1750259.086991330375895,5910503.808133590035141,-0.775186724000000
440,1751812.416050410130993,5910481.935115295462310,
441,1752337.219227748224512,5910468.449206537567079,
442,1752360.972460769815370,5910463.239218565635383,
443,1752384.678912576287985,5910467.032550108619034,
444,1752432.974048251518980,5910461.946374908089638,
445,1752511.301313990727067,5910521.643130876123905,
446,1752533.566493604332209,5910460.522084057331085,
447,1752584.977427528472617,5910459.215030863881111,
448,1752640.078644260531291,5910480.026974295265973,
449,1756848.881802347488701,5910382.606406076811254,-0.121382978000000
450,1762337.432785751298070,5910278.078698853962123,0.100954356000000
451,1762616.580466854153201,5910293.515758460387588,0.247737897000000
