OID,FID_,X,Y,BCE_Waitem
402,402,1745606.194502371,5930050.035287674,5.828368413
403,403,1745741.794198692,5930048.978587261,-0.960000038
404,404,1749191.024666285,5929989.563974921,0.597017561
405,405,1749647.380957508,5929981.617837241,0.45028572
406,406,1749766.953089556,5929983.698693994,0.741065575
407,407,1749927.709356342,5929976.908580101,0.658082195
408,408,1742875.143166286,5930126.457329122,0.306815486
409,409,1748965.115698429,5929988.3884854,0.439
410,410,1749682.063312431,5929978.183263558,0.374327484
411,411,1742814.881110074,5930078.285953356,0.889891903
412,412,1745601.517447503,5930033.821393064,4.965113662
413,413,1749758.906617677,5929961.667828628,1.372500005
414,414,1749943.720165842,5929957.13105553,0.87316665
415,415,1749999.067951317,5929955.139247715,0.362545452
416,416,1745645.5597685,5930025.505792731,2.005581823
417,417,1745754.344832828,5930028.729169516,-0.905099994
418,418,1748956.749501421,5929968.596352554,0.311881254
419,419,1749197.389376694,5929969.381054593,0.481377589
420,420,1749951.750572315,5929947.303667537,0.750727277
421,421,1742856.841083718,5930065.056605726,0.222996412
422,422,1745660.930150043,5930010.482178893,0.640102571
423,423,1749654.702693874,5929959.122550936,1.566400002
424,424,1749959.813425406,5929937.310642349,0.64307692
425,425,1742816.451648385,5930048.546242015,0.707666666
426,426,1745767.72843721,5930002.01402986,-0.233463376
427,427,1748955.730330106,5929943.691251183,0.535236363
428,428,1749967.589417968,5929927.090567493,0.574464283
429,429,1748948.122949644,5929933.854706564,0.459174993
430,430,1749197.285621942,5929929.82538542,1.965100004
431,431,1749975.342413493,5929916.886033745,0.288727271
432,432,1745788.714055115,5929978.394753889,-9999.0
433,433,1748458.827789806,5929932.403991307,0.525175001
434,434,1748611.177073866,5929929.754506111,0.233562497
435,435,1748650.970919865,5929931.139120965,-0.038175001
436,436,1748679.333215581,5929928.568576062,0.053697432
437,437,1748939.930571527,5929924.028308761,0.542925006
438,438,1745780.525339516,5929968.566013778,-0.096235251
439,439,1748434.599465956,5929922.855946049,0.732274999
440,440,1749204.716993625,5929915.070736919,0.582762249
