OID,FID_,X,Y,BCE_Kawhia
441,441,1767786.791512522,5784167.505365673,0.767304674
442,442,1766645.75195991,5784164.443218122,1.202424517
443,443,1767957.094879366,5784117.189452402,0.396000004
444,444,1767948.846060924,5784107.179055286,0.516199996
445,445,1766356.890945317,5784129.872600331,0.774725004
446,446,1766336.987549917,5784120.306438261,1.440375012
447,447,1767931.265458323,5784091.634510364,0.636590919
448,448,1766317.084202745,5784110.740232812,2.031299973
449,449,1767704.05403515,5784087.290602809,1.022012517
450,450,1767728.8862737,5784094.489661585,1.174537607
451,451,1767764.479834327,5784087.860088794,1.208567025
452,452,1766284.582976973,5784091.45855344,0.886711564
453,453,1766783.001612479,5784077.230582797,0.79180754
454,454,1768050.051758362,5784045.255562493,0.157175002
455,455,1768041.966205525,5784035.449651663,0.209139235
456,456,1766228.813424514,5784062.679018277,1.503452825
457,457,1766733.940044071,5784054.316136543,0.600606521
458,458,1768026.575355114,5784025.794424633,0.384923074
459,459,1764795.051744709,5784081.838362546,0.680362514
460,460,1767151.128835051,5784033.832859389,1.219337495
461,461,1759034.718841114,5784186.362379558,-9999.0
462,462,1764742.252897592,5784078.492934418,0.506973399
463,463,1766251.288177176,5784049.786723565,2.102109669
464,464,1764687.838145271,5784064.736870798,0.601551402
465,465,1764676.086332807,5784054.118983411,0.64612963
466,466,1766457.256601254,5783998.178428935,0.69403636
467,467,1766602.454497873,5784019.797831795,0.501248837
468,468,1766440.563928647,5783988.754681404,0.740345466
469,469,1767105.740835845,5783997.392450628,0.961521708
470,470,1767733.257956136,5783958.699322274,0.859137933
471,471,1766424.396986796,5783969.139790084,0.679641511
472,472,1766404.012500968,5783950.07849397,0.692886795
473,473,1766352.868182973,5783940.683082674,0.820127285
474,474,1766382.842992952,5783938.811291924,0.732495376
475,475,1766329.34342793,5783931.190882684,0.872870371
476,476,1767716.300705412,5783908.156130245,-0.768870961
477,477,1758983.218309571,5784051.746789643,-9999.0
478,478,1767700.074014228,5783868.544681641,-0.782999992
479,479,1758968.147390298,5783998.39926944,-9999.0
480,480,1765090.04098796,5783856.469799663,0.202025318
481,481,1766277.06097111,5783876.307917712,0.952972988
482,482,1767698.050210942,5783803.400253264,0.743581796
483,483,1764618.872572424,5783865.807199191,0.096166668
484,484,1765070.139887825,5783846.900610958,-0.014750004
485,485,1764593.450077513,5783851.095647343,0.285825278
