OID,FID_,X,Y,BCE_Whitia
71,71,1841062.552186368,5919295.329792422,-0.725225224
72,72,1841802.330214959,5919270.396778826,0.068657894
73,73,1839275.316439158,5919342.537229805,-0.211699674
74,74,1839300.884730221,5919316.584910459,-0.255557227
75,75,1838898.774366382,5919316.977738594,-0.25601663
76,76,1839316.847086943,5919294.814280679,-0.24908169
77,77,1841082.021942685,5919241.059176703,-0.737308452
78,78,1841141.516067286,5919238.991174919,-0.747981824
79,79,1841516.711178621,5919229.20288656,-0.057200011
80,80,1839353.428448147,5919274.260198836,-0.231619301
81,81,1839421.15452253,5919273.255784389,-0.198154734
82,82,1839643.199412372,5919251.165761929,0.132703708
83,83,1841081.175182509,5919211.154632594,-0.742601853
84,84,1841121.234486709,5919210.020238047,-0.740276192
85,85,1841499.694160585,5919199.84759099,-0.41768888
86,86,1839459.017463109,5919255.548481896,-0.250292971
87,87,1839528.447009244,5919242.635250717,-0.172290324
88,88,1839569.644070818,5919243.259517559,-0.34594546
89,89,1841140.386773237,5919199.118442988,-0.742236366
90,90,1838879.114640407,5919278.224011501,-0.269332239
91,91,1839521.897376125,5919235.35426271,-0.217035718
92,92,1839670.105280095,5919230.806835684,-0.130504503
93,93,1839693.990303404,5919224.795748754,0.049518751
94,94,1841099.76295919,5919180.316565703,-0.742462994
95,95,1838808.105569592,5919224.934505689,-0.214358968
96,96,1838860.064570745,5919223.292267242,-0.107039667
97,97,1841019.080273834,5919162.64861706,-0.763018193
98,98,1841084.640080968,5919161.33152255,-0.748578634
99,99,1838826.051817843,5919216.024057147,-0.232705037
100,100,1840776.136282501,5919157.695225022,-0.148166664
101,101,1840740.344211071,5919136.44591161,-0.1311
102,102,1841014.540668582,5919123.255647426,-0.755657414
103,103,1841051.373381465,5919126.073799393,-0.757623249
104,104,1841078.006744741,5919126.17408096,-0.755452068
105,105,1839736.090697188,5919153.778009966,0.167837497
106,106,1839743.681397311,5919138.600184753,0.052126578
107,107,1840702.476489057,5919112.477148243,-0.11342857
108,108,1841033.410657681,5919102.385906244,-0.752410743
109,109,1841506.12436183,5919083.800356392,0.302149999
110,110,1839756.942291174,5919118.274645511,0.047891303
111,111,1841513.495119442,5919063.47883089,0.761690325
112,112,1839774.60537589,5919097.825110236,-0.032975004
113,113,1838809.057930952,5919119.975262363,-0.19450625
114,114,1839633.118710955,5919072.542996313,-0.34455963
115,115,1839787.711371998,5919071.241290918,-0.161540108
116,116,1839621.088459064,5919062.041751038,-0.340285717
117,117,1840951.036173784,5919024.908290351,-0.741763636
118,118,1841519.323405015,5919020.511952763,0.740605877
119,119,1838831.638889949,5919079.74970782,-0.244769952
120,120,1838851.702383284,5919074.088453606,-0.256946414
