OID,FID_,X,Y,BCE_Coroma
267,267,1821101.152600282,5923981.975231017,-0.899999976
268,268,1821121.923683913,5923989.083718558,-0.899999976
269,269,1822310.965725886,5923930.569686253,-0.427468356
270,270,1821088.353659585,5923952.384581978,-0.899999976
271,271,1820670.908100189,5923938.262095622,-0.863249976
272,272,1821075.556167292,5923933.43668374,-0.899999976
273,273,1822144.08725836,5923908.994187941,-0.850635915
274,274,1822338.225849834,5923998.829835795,-0.734793311
275,275,1820698.574928212,5923922.584580837,-0.899999976
276,276,1820709.902160342,5923911.732650459,-0.899999976
277,277,1820806.962047401,5923910.388566477,-0.899999976
278,278,1820906.476109013,5923887.27806862,-0.899999976
279,279,1820966.05647246,5923875.759717338,-0.899999976
280,280,1820983.824674084,5923867.9940339,-0.899999976
281,281,1821747.311760473,5923846.230318705,-0.899999976
282,282,1820542.062853541,5923914.990133462,-0.705318778
283,283,1820568.367607269,5923856.335111849,-0.069178565
284,284,1820575.507647468,5923816.052214588,-0.899999976
285,285,1820592.414324708,5923817.634830335,-0.242597301
286,286,1822150.472684436,5923791.793938396,-0.411764967
287,287,1821975.073552663,5923702.727713231,-0.646679621
288,288,1820635.895479355,5923727.392083845,-0.890397219
289,289,1817766.059165199,5923813.894213689,-0.899181879
290,290,1817718.521833537,5923749.846869622,-0.899999976
291,291,1817747.628786969,5923738.257144488,-0.768578489
292,292,1817782.515372084,5923743.225050068,-0.899999976
293,293,1820335.366676005,5923662.668568158,-0.899999976
294,294,1819593.283024506,5923671.844117233,-0.899999976
295,295,1819507.702768384,5923670.723521871,-0.899999976
296,296,1820651.381617134,5923667.838280459,-0.376447598
297,297,1817709.226926268,5923702.441884784,-0.266655146
298,298,1819616.815024259,5923651.289444674,-0.899999976
299,299,1819489.988933783,5923657.690228956,-0.899999976
300,300,1820634.600203002,5923620.024248359,-0.899999976
301,301,1818798.748973152,5923651.647621754,-0.899999976
302,302,1818886.654993239,5923657.497041886,-0.897590476
303,303,1818959.068455658,5923648.258691603,-0.899999976
304,304,1819463.96599157,5923635.967081584,-0.899999976
305,305,1817711.096895377,5923670.481041226,-0.843519976
306,306,1817804.669369993,5923668.580988795,-0.899999976
307,307,1818770.459084135,5923643.126839128,-0.899999976
308,308,1818986.86504424,5923637.570611678,-0.899999976
309,309,1817712.666911033,5923662.416586638,-0.899999976
310,310,1818998.631541924,5923627.294219458,-0.899999976
311,311,1820649.570912714,5923584.92807591,-0.55385452
312,312,1818235.627467558,5923652.963979195,-0.899999976
313,313,1817816.096996435,5923647.401004435,-0.899999976
314,314,1818271.503715217,5923623.510980298,-0.899597807
315,315,1818324.604685609,5923614.659226375,-0.899999976
316,316,1818466.501464481,5923624.321007823,-0.898115581
317,317,1818553.372796584,5923622.096438424,-0.873304149
318,318,1819013.893402023,5923596.979692074,-0.899999976
319,319,1818702.065165779,5923594.554104797,-0.899999976
320,320,1818725.571655427,5923600.005931881,-0.869344432
321,321,1820624.908509286,5923555.442133347,-0.899999976
322,322,1819422.40091251,5923576.502270259,-0.899999976
323,323,1819446.317538708,5923570.899260789,-0.419487481
324,324,1819654.322080064,5923550.581208601,-0.899999976
325,325,1818674.333665915,5923553.810916827,0.098876719
326,326,1819886.085715689,5923524.859500543,-0.899999976
327,327,1820605.503607726,5923502.656286339,-0.899999976
328,328,1817848.044442864,5923563.680219314,-0.899999976
329,329,1819392.809430709,5923517.418376293,-0.856918215
330,330,1817696.895186211,5923548.671519728,-0.899999976
331,331,1817868.268644332,5923539.843635208,-0.900062336
332,332,1819385.571729508,5923495.470430561,-0.50980363
333,333,1817907.218922575,5923523.103118578,-0.899999976
334,334,1818081.351241513,5923511.170094273,-0.899999976
335,335,1820557.951810066,5923447.457351677,-0.899999976
336,336,1819106.486818128,5923454.962175579,-0.899999976
337,337,1819361.275791467,5923462.331974006,-0.656145398
338,338,1819667.655499051,5923445.508236709,-0.899999976
339,339,1820543.14971304,5923431.281308074,-0.899999976
340,340,1820504.823633983,5923408.934510585,-0.899999976
341,341,1819138.033812673,5923434.202980142,-0.899999976
342,342,1819186.122839825,5923432.96672498,-0.899999976
343,343,1819879.901650388,5923418.973520189,-0.899999976
344,344,1819330.717928626,5923419.273698764,-0.899999976
345,345,1819209.654755449,5923412.413313809,-0.899999976
346,346,1819301.568787031,5923400.075204515,-0.899999976
347,347,1819328.991035081,5923400.027167783,-0.899999976
348,348,1820394.492311236,5923351.94185505,-0.899999976
349,349,1817456.798706821,5923430.721491332,-0.899999976
350,350,1820185.990685031,5923337.813903328,-0.899999976
351,351,1820424.711355227,5923337.343406962,-0.899999976
352,352,1820393.719236947,5923322.038995731,-0.899999976
353,353,1820165.753381604,5923322.942662792,-0.899999976
354,354,1820217.564338017,5923316.818331837,-0.899999976
355,355,1820289.59629562,5923304.781689916,-0.899999976
356,356,1820353.557868683,5923303.329936824,-0.899999976
