OID,FID_,X,Y,BCE_Kaipar
442,442,1722685.403072182,6001627.245195188,1.413999978
443,443,1709642.82277821,6001801.327432171,1.357345306
444,444,1713399.56344766,6001829.40858828,1.404297499
445,445,1722617.140064479,6001618.618804868,1.636108095
446,446,1723027.673163909,6001612.672109096,0.881053101
447,447,1723668.202623973,6001603.021166126,1.405951583
448,448,1723841.505010657,6001600.781205612,2.883197685
449,449,1709321.778001664,6001784.384520394,1.398600003
450,450,1709694.311250648,6001782.476535895,1.301366994
451,451,1712555.514511502,6001743.361034162,0.454666666
452,452,1712741.51893469,6001745.948277868,1.258814348
453,453,1713068.631155295,6001762.912302334,-0.499836534
454,454,1713266.856940583,6001729.642236707,-9999.0
455,455,1714031.424804357,6001874.074715281,1.386600002
456,456,1722575.233383062,6001617.901394004,1.844465883
457,457,1722709.537219932,6001606.772091993,1.436141143
458,458,1723621.646463716,6001615.311612134,1.280789986
459,459,1723687.5984166,6001593.193904652,1.42485715
460,460,1706912.540032485,6001804.931398605,1.775367362
461,461,1706934.263796918,6001811.030163484,2.357202553
462,462,1709305.594579065,6001774.469362413,1.40355421
463,463,1709725.878413927,6001770.084077964,1.539918389
464,464,1711577.18061386,6001745.932408045,1.826824984
465,465,1711600.211407787,6001746.163655286,2.303349936
466,466,1713315.315352824,6001723.582531745,1.588024759
467,467,1722717.481850847,6001596.693941057,1.899848806
468,468,1723752.293567673,6001582.110731172,1.289725022
469,469,1723806.489777224,6001592.643464351,1.931552821
470,470,1706779.885359883,6001823.532526076,1.753775879
471,471,1706888.16536424,6001795.263377565,1.771836344
472,472,1712348.958792468,6001721.387002453,1.779999971
473,473,1713081.158228676,6001722.586079108,-0.233233897
474,474,1713258.586390483,6001713.624509342,2.304019592
475,475,1722733.580843447,6001591.484672209,1.45390686
476,476,1723016.536865827,6001587.508720542,0.891627324
477,477,1723737.307654494,6001571.44765246,1.29574847
478,478,1706871.705443403,6001784.973017848,1.609035737
479,479,1707183.453819279,6001780.740849323,3.495854365
480,480,1709280.982815103,6001754.996174327,1.518274988
481,481,1709351.215397146,6001771.14169173,1.385436412
482,482,1709370.216016722,6001754.366408818,1.386036074
483,483,1709418.255221592,6001753.480801282,1.130927255
484,484,1712753.820837008,6001721.245544546,1.310089939
485,485,1722789.801816623,6001575.946557583,1.266089324
486,486,1722805.970703143,6001575.719502387,1.202181805
487,487,1706914.897490694,6001780.753233774,1.723949723
488,488,1707170.926508083,6001771.063352915,1.358848094
489,489,1707212.792553894,6001780.639474317,2.145351912
490,490,1707243.620542349,6001770.252800009,-0.001361966
491,491,1709273.363484878,6001745.125306491,1.623641466
492,492,1709301.069010894,6001744.779060413,1.516337506
493,493,1709394.521165634,6001744.243250668,1.360855046
494,494,1709426.536117452,6001743.008822917,1.18490912
495,495,1711592.807224067,6001716.035627382,1.638689629
496,496,1713094.512817712,6001703.757338246,0.050912288
497,497,1713239.973567938,6001698.53553412,0.85085531
498,498,1722755.354125539,6001573.477833437,1.425640554
499,499,1722919.527438431,6001568.939525927,0.033149533
500,500,1723777.301226523,6001565.14625933,1.379467898
501,501,1707162.715848208,6001761.203352932,1.455050607
502,502,1709244.483261022,6001743.240883401,1.595361884
503,503,1709284.775909112,6001735.016611865,1.565500019
504,504,1711566.84392978,6001756.052938251,1.733777717
505,505,1713104.840751273,6001686.752629163,-0.594400005
506,506,1713225.705590825,6001684.677134535,1.457018189
507,507,1723040.139182684,6001552.494426512,1.104750007
508,508,1706718.59314246,6001755.727735247,1.692525417
509,509,1707155.666859895,6001750.963066665,1.486446435
510,510,1707281.96904648,6001753.303892086,0.393275357
511,511,1709434.049724974,6001723.384906129,1.17272732
512,512,1711609.471565867,6001695.68946504,1.425518475
513,513,1722797.205213618,6001555.833514761,1.494269416
514,514,1706710.157403761,6001746.238914423,1.724014514
515,515,1711568.459516262,6001691.368444996,1.639807448
516,516,1711616.839192488,6001685.629253766,1.464387465
517,517,1713118.412722854,6001674.784696447,-0.730999979
518,518,1713136.751468523,6001665.469490486,-0.43049997
519,519,1713176.465991502,6001748.533703096,1.282181022
520,520,1706701.752932439,6001736.665003395,1.767589708
521,521,1707366.986761654,6001749.07916197,1.167955153
522,522,1707833.120040824,6001723.340623864,1.13150907
523,523,1709251.090156481,6001718.803149911,2.366868944
524,524,1709417.953598134,6001708.644816807,1.283782037
525,525,1711628.838417507,6001675.509909647,1.498828016
526,526,1712775.055736586,6001676.258062248,1.070378193
527,527,1713152.929679062,6001663.242376427,1.007528331
528,528,1722859.89183959,6001532.143033182,1.470981326
529,529,1722911.350154006,6001527.709382699,0.353158335
530,530,1707448.230867784,6001717.911128739,0.077691356
531,531,1709757.045408747,6001689.438612892,1.700907456
532,532,1711640.837614618,6001665.390551989,1.504125021
