OID,FID_,X,Y,BCE_Croisi
429,429,1650800.646056128,5454140.200532384,0.624666671
430,430,1660557.270950728,5454152.198154935,-0.192475362
431,431,1650823.743561145,5454126.222693685,-0.784204077
432,432,1650830.629192983,5454110.075125402,-9999.0
433,433,1650865.130633048,5454050.581798919,-9999.0
434,434,1660589.783846384,5453976.049748992,0.292425003
435,435,1660577.259043873,5454005.226353052,-0.394356423
436,436,1650877.985083812,5454029.966476963,-9999.0
437,437,1660540.02846475,5453870.939157848,0.387000014
438,438,1651194.507011719,5453896.45736065,-0.488863652
439,439,1651242.826468625,5453893.270352797,-0.366521688
440,440,1651266.787098017,5453877.669112343,-9999.0
441,441,1651248.731534106,5453858.431457868,0.348178213
442,442,1651291.709403728,5453855.056548406,-0.757399946
443,443,1660529.844424369,5453886.42885787,-0.259028472
444,444,1660557.986225209,5453763.046174894,-0.287378075
445,445,1660570.475987792,5453753.773731128,-0.610923029
446,446,1651327.292377651,5453816.68167458,-9999.0
447,447,1651361.260475131,5453817.172438157,-9999.0
448,448,1651400.441987004,5453821.250863097,-0.965999946
449,449,1660722.036805006,5453592.367483346,0.293359998
450,450,1660737.757720415,5453594.922560479,0.870339269
451,451,1660759.632885589,5453555.796969151,0.975548356
452,452,1660533.243565604,5453527.743741474,-9999.0
453,453,1660714.374668006,5453526.245086159,0.376342861
454,454,1660487.480165824,5453538.757295204,0.123144866
455,455,1660624.989875988,5453567.024655134,-0.548727785
456,456,1660604.693846253,5453497.234837105,-0.737751113
