OID,FID_,X,Y,BCE_Patter
332,332,1222535.805880767,4793629.552057327,-9999.0
333,333,1222681.42981112,4793630.625329632,-9999.0
334,334,1224316.822474959,4793735.645781227,-9999.0
335,335,1224333.609513455,4793735.62365729,-9999.0
336,336,1227483.358595412,4793933.051046447,-9999.0
337,337,1228549.720840201,4793998.801103001,-9999.0
338,338,1228590.656950578,4793998.231620904,-9999.0
339,339,1222556.487320655,4793616.209851288,-9999.0
340,340,1220343.594223212,4793460.873264298,-9999.0
341,341,1220740.747488629,4793490.24773999,-9999.0
342,342,1228575.716950082,4793981.419059391,-9999.0
343,343,1228654.255204025,4793986.088829529,-9999.0
344,344,1219636.418907024,4793436.777635209,-9999.0
345,345,1219667.027158793,4793409.826070894,-9999.0
346,346,1220761.817943325,4793480.14713256,-9999.0
347,347,1221185.811372521,4793538.563615216,-9999.0
348,348,1222567.149409501,4793601.248219273,-9999.0
349,349,1225334.100372857,4793775.876270122,-9999.0
350,350,1227546.924984305,4793905.419194402,-9999.0
351,351,1227791.458476804,4793929.126123191,-9999.0
352,352,1226025.212994881,4793857.422387817,-9999.0
353,353,1227557.789950325,4793897.868607203,-9999.0
354,354,1220510.396293483,4793454.006887385,-9999.0
355,355,1220888.276231861,4793475.183187122,-9999.0
356,356,1222690.04117453,4793590.829368711,-9999.0
357,357,1225327.429878966,4793747.993265335,-9999.0
358,358,1228395.077993073,4793943.41651172,-9999.0
359,359,1224920.033947583,4793711.525806037,-9999.0
360,360,1219680.113669078,4793383.452877614,-9999.0
361,361,1223104.637675664,4793643.328526895,-9999.0
362,362,1225346.561800873,4793728.671542765,-9999.0
363,363,1220496.917870502,4793424.479841614,-9999.0
364,364,1228125.045623572,4793890.955973898,-9999.0
365,365,1217023.901885472,4793180.979384318,-9999.0
366,366,1219653.266953721,4793353.945692715,-9999.0
367,367,1219699.870920162,4793359.052568078,-9999.0
368,368,1222717.577596299,4793542.782051127,-9999.0
369,369,1223952.662727571,4793619.469264497,-9999.0
370,370,1224121.771767119,4793640.446833725,-9999.0
371,371,1224422.25590716,4793664.129295447,-9999.0
372,372,1227851.162453611,4793865.394314681,-9999.0
373,373,1221017.114222183,4793456.480859101,-9999.0
374,374,1222624.3412284,4793528.551884978,-9999.0
375,375,1223039.145933928,4793562.857983113,-9999.0
376,376,1226016.942678897,4793764.925834309,-9999.0
377,377,1220846.541003767,4793401.122428938,-9999.0
378,378,1220903.616490994,4793403.385738166,-9999.0
379,379,1223484.211814597,4793564.508442082,-9999.0
380,380,1223921.738427643,4793596.930033302,-9999.0
381,381,1223497.035076699,4793552.61047992,-9999.0
382,382,1224866.684474339,4793638.455115618,-9999.0
383,383,1223470.473886483,4793544.366932315,-9999.0
384,384,1224459.778085254,4793614.220461121,-9999.0
385,385,1225324.571262586,4793680.590638303,-9999.0
386,386,1228034.370291581,4793827.548878393,-9999.0
387,387,1219660.403731879,4793293.396890652,-9999.0
388,388,1224459.582289483,4793593.272180556,-9999.0
389,389,1226055.580897656,4793704.647710658,-9999.0
390,390,1228046.824305789,4793827.420540882,-9999.0
391,391,1228701.248365168,4793869.010304024,-9999.0
392,392,1222712.359016696,4793472.906450313,-9999.0
393,393,1223465.024175067,4793520.417690028,-9999.0
394,394,1227600.585204961,4793785.052600486,-9999.0
395,395,1228731.066508738,4793849.983064374,-9999.0
396,396,1220582.038631126,4793327.225615529,-9999.0
397,397,1222727.304428966,4793453.813609223,-9999.0
398,398,1222993.707898252,4793491.113746363,-9999.0
399,399,1223923.653629445,4793551.866264936,-9999.0
400,400,1224451.025371934,4793566.736090343,-9999.0
401,401,1226024.371569437,4793668.153918594,-9999.0
402,402,1223993.307163069,4793523.792376509,-9999.0
403,403,1224864.623090966,4793581.825637819,-9999.0
404,404,1225333.327522067,4793618.243492154,-9999.0
405,405,1227571.50779803,4793755.786142005,-9999.0
406,406,1220595.023702018,4793288.602262612,-9999.0
407,407,1222733.935876808,4793432.261479023,-9999.0
408,408,1224015.08584002,4793505.126790687,-9999.0
409,409,1224164.834100434,4793522.367721709,-9999.0
410,410,1224897.92427743,4793560.751272146,-9999.0
411,411,1227584.996362243,4793730.346769539,-9999.0
412,412,1227933.093149117,4793771.741099333,-9999.0
413,413,1217025.110508491,4793240.664568305,-9999.0
414,414,1223437.425002605,4793465.776696248,-9999.0
415,415,1224457.976964504,4793530.269099407,-9999.0
416,416,1224877.693538377,4793549.71130665,-9999.0
417,417,1220528.047337787,4793264.095264873,-9999.0
418,418,1224908.941401968,4793541.405509165,-9999.0
419,419,1228831.590760433,4793786.962501504,-9999.0
420,420,1220583.57656465,4793260.741139715,-9999.0
421,421,1220608.472425296,4793270.973661573,-9999.0
422,422,1223412.901066051,4793443.691923277,-9999.0
423,423,1223992.256177294,4793500.964050912,-9999.0
424,424,1224468.410612725,4793510.464386816,-9999.0
425,425,1225530.173314076,4793572.183392297,-9999.0
426,426,1220548.684479522,4793246.430152417,-9999.0
427,427,1223357.13506782,4793424.172172545,-9999.0
428,428,1223395.039749052,4793425.964767791,-9999.0
429,429,1224894.287083962,4793531.816847994,-9999.0
430,430,1230170.165489138,4793850.088379264,-9999.0
431,431,1223348.434090422,4793412.93709886,-9999.0
432,432,1224920.457200613,4793522.091129559,-9999.0
433,433,1227950.48494926,4793699.973096616,-9999.0
434,434,1228491.393366636,4793740.721887041,-9999.0
435,435,1230180.90195701,4793840.773864569,-9999.0
