OID,FID_,X,Y,BCE_Tamaki
319,319,1767542.966972049,5915192.369007383,0.350429048
320,320,1767553.932080396,5915172.045867584,0.333589741
321,321,1766443.225121249,5915183.792156002,0.175749998
322,322,1766458.263522479,5915133.650029257,0.343250005
323,323,1767474.490761624,5915093.01720639,0.115799998
324,324,1767513.486718419,5915124.903510477,0.247384884
325,325,1767457.678952815,5915044.424136962,0.250363642
326,326,1767377.425009368,5915035.631785467,0.010357142
327,327,1766488.44735442,5915039.477450908,0.021304964
328,328,1767369.221155023,5915018.896097655,0.166470589
329,329,1766480.127318693,5915023.54234271,0.465354431
330,330,1766496.294695036,5915023.0245611,-0.11069643
331,331,1767418.515977981,5915028.189260131,0.23975026
332,332,1766487.742056725,5915003.45214043,0.209278481
333,333,1766502.385066352,5914933.372482465,-0.106304165
334,334,1766492.23264071,5914823.896578503,0.102810475
335,335,1766490.868064801,5914784.041488821,0.252654544
336,336,1766487.058950719,5914764.17520226,0.351754911
337,337,1766474.85477651,5914724.532450528,0.396274516
338,338,1767338.938143005,5914707.765431732,-0.059629626
339,339,1766462.307315709,5914705.421508319,0.388880738
340,340,1766457.28395935,5914645.112994608,0.283611112
341,341,1766446.163163467,5914545.630311769,0.566839991
342,342,1767367.022220607,5914516.873204515,0.102499994
343,343,1766469.921833042,5914529.640557748,0.289396394
344,344,1767350.699157896,5914508.123739308,0.165357141
345,345,1766470.141878122,5914505.476077198,0.254259263
346,346,1766461.776890482,5914495.468110243,0.308333333
347,347,1766476.85395819,5914445.371004029,0.419455695
348,348,1767299.106689413,5914448.264479796,0.109636363
349,349,1767245.033776728,5914420.267696557,-0.072719665
350,350,1766500.274436129,5914425.12217149,0.121740744
351,351,1767222.953592627,5914407.029157649,-0.122340425
352,352,1766516.050192047,5914404.670950133,0.025675
353,353,1766401.647705015,5914287.266298514,0.705599994
354,354,1766126.971389403,5914163.02453235,2.492111121
355,355,1766019.534511355,5914162.631022611,0.175658335
356,356,1766102.764287931,5914153.526960053,1.907292317
357,357,1766118.772591563,5914153.2141583,0.325000025
358,358,1766110.379059571,5914133.437351151,-9999.0
359,359,1764428.948736266,5914136.227626365,-0.018000001
360,360,1765933.511101884,5914097.011063424,0.286795454
361,361,1767117.573846604,5914046.635666304,0.162795699
362,362,1767064.069220342,5914002.457496961,0.221939204
363,363,1766958.607821437,5913993.290947387,-0.129426225
364,364,1767025.769599121,5913985.857236145,0.299057188
365,365,1765259.637231184,5914000.989339598,-0.559968039
366,366,1766871.831799866,5913968.961786834,-0.297812499
367,367,1764316.634740148,5914004.908081322,0.442857142
368,368,1764330.482693186,5914009.153364515,0.384117655
369,369,1766851.626257371,5913959.388075856,-0.294000002
370,370,1765198.624026318,5913981.71412868,-0.560000002
371,371,1765226.637953576,5913981.169697106,-0.412149992
372,372,1765254.651978429,5913983.039349448,-0.560433959
373,373,1765274.929955778,5913981.27107247,-0.605379355
374,374,1766831.420762384,5913949.814312628,-0.257701863
375,375,1765186.424671299,5913971.981072472,-0.582375002
376,376,1765158.217128036,5913962.558827051,-0.627784814
377,377,1765138.013962522,5913952.981353316,-0.616599998
378,378,1765677.95990475,5913937.88728766,-9999.0
379,379,1764328.614524342,5913976.440515605,0.284650794
380,380,1765129.77621893,5913945.602852995,-0.719441196
381,381,1765306.023764232,5913939.871046261,3.998916658
382,382,1765073.402095303,5913924.325718277,-0.618
383,383,1765313.633232004,5913949.867044975,3.96188369
384,384,1764288.833943007,5913929.560854939,0.117692308
385,385,1765313.96397074,5913915.943248084,2.281361101
386,386,1765337.237859256,5913904.240562623,-9999.0
387,387,1764313.125036865,5913921.301005008,0.220645162
388,388,1764328.4675297,5913908.853819272,0.253950617
389,389,1764281.842930767,5913912.108267481,0.530327453
390,390,1764344.282435078,5913898.57759808,0.246000003
391,391,1765329.313068868,5913885.795224446,0.499250035
392,392,1764352.093400192,5913888.45611391,0.297820517
393,393,1764375.912019949,5913878.024877467,0.177875
394,394,1765804.586553517,5913850.267026003,-9999.0
395,395,1764391.726622256,5913867.748882221,0.129999999
396,396,1765348.09825911,5913871.715929126,1.601750033
397,397,1765368.00159702,5913853.789850743,-9999.0
398,398,1765588.340438005,5913845.958263053,-0.758351378
399,399,1766160.560420365,5913833.343283975,-0.267325005
400,400,1764399.537550538,5913857.627429825,0.159624998
401,401,1765359.988661564,5913838.990163874,-9999.0
402,402,1765773.568936271,5913834.275966225,0.568801963
403,403,1764306.74017825,5913865.283667688,0.823735633
404,404,1765383.648346177,5913828.760602937,-9999.0
405,405,1765752.076051201,5913826.365204629,-0.909666717
406,406,1765808.84162756,5913832.007953997,1.04193722
407,407,1765855.799481496,5913824.756905336,-0.205549686
408,408,1764405.023628459,5913842.050849583,0.252891
409,409,1764983.424907598,5913826.368907676,-0.426625002
410,410,1765368.774697158,5913820.31479799,0.173272767
411,411,1765735.776888049,5913811.727780933,-9999.0
412,412,1765840.037597247,5913809.965517651,1.785441566
413,413,1766153.533107599,5913811.297811884,1.743328115
414,414,1764324.855729379,5913836.379152377,0.852788457
415,415,1765376.597869438,5913810.208807668,-0.35615381
416,416,1764345.002796645,5913821.553294958,0.999757294
417,417,1764436.652819955,5913821.498141126,0.33325581
418,418,1764943.019238265,5913807.213006067,-0.487750003
419,419,1765735.178620872,5913792.082582369,-0.167184633
420,420,1766183.758282583,5913805.481922791,0.209022988
421,421,1766215.598011963,5913781.687444746,0.510811315
422,422,1766267.629765962,5913781.045567359,0.084960194
423,423,1764406.577088408,5913807.639563001,0.726543212
