OID,FID_,X,Y,BCE_Tauran
261,261,1862886.852961228,5844770.783456274,-0.034325
262,262,1862898.450920685,5844760.43700907,0.009714287
263,263,1863095.457086913,5844574.360730379,-0.711719287
264,264,1863166.049508441,5844352.695601145,-0.692482746
265,265,1863158.607334862,5844313.058701054,0.016230755
266,266,1863156.674213291,5844289.74419545,-0.58093595
267,267,1863149.156821017,5844253.848198088,-0.606027762
268,268,1863206.450176578,5843994.945045804,-0.713999987
269,269,1865484.807130923,5843700.185256948,0.083340001
270,270,1865491.850883733,5843689.980242382,0.086550002
271,271,1865504.712080057,5843659.087997288,0.071000002
272,272,1865517.663973569,5843624.470084921,-9999.0
273,273,1865512.41076587,5843603.922049364,0.016909088
274,274,1865526.651975646,5843598.37385253,0.123777779
275,275,1865520.45323614,5843589.994378437,0.033079999
276,276,1862747.811631878,5843640.522242261,-0.369571428
277,277,1862435.21477148,5843600.638393964,-0.193925923
278,278,1862698.437591225,5843589.165666047,-0.688179474
279,279,1865573.150807583,5843497.763018453,0.348475002
280,280,1860232.02925906,5842249.717581148,0.064799999
281,281,1859707.306049145,5842244.156947184,-0.236958344
282,282,1859621.642894299,5842249.890386512,-0.168289776
283,283,1859743.232576507,5842234.407908753,-0.273899073
284,284,1859817.914201048,5842222.767258986,-0.258375005
285,285,1859787.16859974,5842216.128244367,-0.337507144
286,286,1859829.52301976,5842212.776023905,-0.367972481
287,287,1859856.829883256,5842201.799207051,-0.405946419
288,288,1859904.927946718,5842193.344389588,-0.501502218
289,289,1860124.79822349,5842210.404854197,-0.303803258
290,290,1860231.453486653,5842203.165370589,-0.070581692
291,291,1860213.179022799,5842160.70151305,-0.323839284
292,292,1859423.979102265,5842193.299919392,0.095541367
293,293,1861185.849980714,5842920.578813634,0.382735743
294,294,1858423.191416674,5842096.642908485,0.205124999
295,295,1858439.071352899,5842096.149758925,0.22315
296,296,1858541.218738443,5842088.944542325,0.07123077
297,297,1859251.336997332,5842088.162617741,-0.496366514
298,298,1858401.438902996,5842099.124364434,0.238718469
299,299,1858489.770636104,5842090.905782757,0.100350198
300,300,1858568.551728325,5842079.028611964,0.09236207
301,301,1858592.91277178,5842070.793245519,0.042702128
302,302,1859165.011353253,5842058.448511538,-0.630778735
