OID,FID_,X,Y,BCE_Peloro
501,501,1680491.677285614,5464655.343269737,-9999.0
502,502,1685386.109746007,5464602.550186216,-9999.0
503,503,1676729.216398367,5464688.362042967,-0.670343957
504,504,1677611.512305937,5464695.360070878,-9999.0
505,505,1679289.086100253,5464658.617280733,-9999.0
506,506,1676295.891469092,5464685.092385434,-0.489526344
507,507,1678790.104315651,5464657.631764367,-9999.0
508,508,1680498.539920147,5464635.298632422,-0.603107141
509,509,1685260.592128165,5464581.638233412,-9999.0
510,510,1685396.719858485,5464585.030832814,-9999.0
511,511,1685424.332073857,5464582.997547628,-9999.0
512,512,1676711.536446051,5464672.172642571,-0.545891305
513,513,1677060.311816432,5464658.417082779,-0.834124949
514,514,1677596.000341313,5464656.320415874,-0.905124951
515,515,1679201.690256883,5464638.827250326,-9999.0
516,516,1679305.347684618,5464639.026448039,-9999.0
517,517,1679477.991559523,5464636.427103192,-0.721542832
518,518,1685404.104969715,5464569.985040844,-9999.0
519,519,1678921.139095563,5464726.493773941,-9999.0
520,520,1679099.793621371,5464630.736609947,-9999.0
521,521,1685411.547966306,5464559.925243604,-0.470406264
522,522,1676663.141128572,5464645.333645515,-0.5107471
523,523,1676686.584676173,5464654.162981273,-0.640092595
524,524,1677029.020529178,5464641.375401204,-0.741233994
525,525,1677584.319790301,5464636.693016301,-0.839999944
