OID,FID_,X,Y,BCE_Aotea_
141,141,1766091.898891447,5796956.221948517,1.654640961
142,142,1765572.623672885,5796964.97329895,0.676835653
143,143,1760003.68109027,5797056.769096058,0.933012246
144,144,1765541.107073572,5796928.521873645,0.183579159
145,145,1759908.729628597,5797023.261959358,1.778774974
146,146,1765400.432782487,5796914.969944115,0.59273457
147,147,1765380.593916765,5796904.844667058,0.287557146
148,148,1759908.047595479,5796988.373390654,1.54288749
149,149,1759898.747155856,5796909.811191373,1.875105932
150,150,1759897.382978445,5796881.409114366,1.291699056
151,151,1759880.045454643,5796848.31595319,1.084188291
152,152,1759527.365813984,5796840.025331697,2.709144621
153,153,1766142.679114001,5796659.681627468,0.15269811
154,154,1759837.136699035,5796798.557564917,0.99777751
155,155,1759773.445942427,5796766.634356607,0.832111841
156,156,1766128.32262519,5796643.906634584,0.319974683
157,157,1759504.430011708,5796784.654159144,2.213230754
158,158,1759661.406665387,5796764.143328556,1.067044446
159,159,1759753.507200152,5796756.324725567,0.779680011
160,160,1759785.089121995,5796756.434944238,0.76616455
161,161,1766027.435164678,5796622.132284336,1.19639474
162,162,1766106.217532041,5796626.074678831,-0.117391665
163,163,1765993.49661611,5796612.848764117,0.841170211
164,164,1766076.317927214,5796611.699136201,0.379491427
165,165,1765906.830889651,5796514.883472364,1.170766675
166,166,1765934.968300415,5796510.978558118,-0.178875001
167,167,1766183.047220909,5796504.635933824,1.294334571
168,168,1759459.919317266,5796639.392181069,1.661662239
169,169,1759434.377602718,5796593.547838826,0.876927278
170,170,1766012.258686122,5796457.896212464,-0.018577287
171,171,1759405.075132324,5796558.236086627,1.247050921
172,172,1765154.484982383,5796400.469908524,0.246388891
173,173,1764897.928849927,5796206.200718208,0.552775002
174,174,1759460.277410601,5796294.092072304,0.763116447
175,175,1765165.281483484,5796161.124270651,0.696222207
176,176,1765165.248507598,5796141.128093458,0.855444423
177,177,1764864.478785,5796087.272329561,1.967098035
178,178,1759457.983927817,5796184.652987706,0.70454547
179,179,1764847.75147695,5796066.87326274,1.289212784
180,180,1764840.24918214,5796057.779338471,0.777927273
181,181,1765100.075898102,5796051.810540578,0.720312517
182,182,1759456.534935191,5796129.056410566,0.744296285
183,183,1759545.873145169,5795833.919931758,0.733236367
184,184,1759670.143691585,5795721.594712169,0.7588
185,185,1764752.096845765,5795542.76354233,0.770214885
186,186,1764781.61169763,5795540.253591156,1.660014354
187,187,1764557.934006911,5795437.407906138,2.270567591
188,188,1764540.650637584,5795431.725870279,1.027499989
189,189,1764613.186033163,5795424.126477764,0.807653056
190,190,1759808.920409587,5795572.311325833,0.741603465
191,191,1764629.342277462,5795413.828871533,0.682625003
192,192,1764526.561640505,5795405.92530932,0.858157908
193,193,1764493.757837173,5795336.987316326,0.521358485
194,194,1764485.302591003,5795317.005092818,0.632200007
195,195,1764469.320676455,5795307.354328814,0.661424996
196,196,1759906.769012298,5795308.118598825,0.785199998
197,197,1764285.631585697,5795201.352505407,0.412379746
198,198,1764261.247035993,5795183.111565679,0.350460465
199,199,1759896.175775394,5795270.901749689,0.779376793
200,200,1764245.377874104,5795162.27154866,0.128265823
201,201,1764810.351087309,5795141.742241707,0.977999999
202,202,1764868.32801896,5795129.78822729,1.363991462
203,203,1759879.072351099,5795227.69715763,0.794794174
204,204,1764820.582940031,5795110.806331311,1.211376604
205,205,1764827.697108432,5795100.690576314,0.742709091
206,206,1759861.976982878,5795197.308201179,0.845140706
207,207,1764843.852437091,5795090.392511473,1.490174977
208,208,1759829.438943952,5795133.307559518,0.867524856
209,209,1764272.547585567,5794943.063219986,0.700255322
210,210,1759753.201328593,5795035.372054266,1.038170534
211,211,1759671.899106394,5794973.661478472,0.970702122
212,212,1759687.104104193,5794973.364319523,0.956724983
213,213,1759655.237596888,5794949.682685039,0.94444716
214,214,1759639.151512292,5794906.14620201,0.885018184
215,215,1759619.383759524,5794879.096269595,0.876091453
216,216,1759602.116029129,5794865.332424274,0.881575014
217,217,1759566.746915732,5794850.080117579,0.913210906
218,218,1759562.553595326,5794792.976883278,0.927812497
219,219,1759638.295075678,5794675.742381105,0.818620382
220,220,1764060.378826848,5794587.944818118,1.28526087
221,221,1764044.201832143,5794577.94752542,0.720925004
222,222,1759615.958164884,5794640.600428606,0.985064397
223,223,1764021.325245447,5794536.736893016,0.99351557
224,224,1760531.220477398,5794547.977089354,0.555637501
225,225,1759585.05368739,5794585.600057346,1.174927807
226,226,1760507.355324349,5794538.473836952,0.631987021
227,227,1760475.600142135,5794529.125459079,0.752077917
228,228,1760388.61670528,5794520.86078003,0.640410281
229,229,1763923.098476275,5794450.945203806,0.730296275
230,230,1760293.548381054,5794502.781648542,0.716093326
231,231,1760205.979171047,5794464.610502305,0.7001
232,232,1760118.80156677,5794446.374340399,0.662450004
233,233,1760055.293431761,5794427.674169916,0.792975006
234,234,1759645.612769866,5794423.829005796,1.99607698
235,235,1759968.116681477,5794409.436826222,0.84223076
236,236,1759698.405562809,5794404.012728642,2.264987298
237,237,1763936.2338434,5794310.862407198,0.786924993
